Year_Reference,District,Neighborhood,Census_Section,Import_Euros
2017,Ciutat Vella,el Raval,1,14437
2017,Ciutat Vella,el Raval,2,11116
2017,Ciutat Vella,el Raval,3,11077
2017,Ciutat Vella,el Raval,4,14072
2017,Ciutat Vella,el Raval,5,11075
2017,Ciutat Vella,el Raval,6,13056
2017,Ciutat Vella,el Raval,7,12355
2017,Ciutat Vella,el Raval,8,9518
2017,Ciutat Vella,el Raval,9,11495
2017,Ciutat Vella,el Raval,10,10545
2017,Ciutat Vella,el Raval,11,9855
2017,Ciutat Vella,el Raval,12,12661
2017,Ciutat Vella,el Raval,13,13511
2017,Ciutat Vella,el Raval,14,12614
2017,Ciutat Vella,el Raval,15,12280
2017,Ciutat Vella,el Raval,16,11851
2017,Ciutat Vella,el Raval,17,11534
2017,Ciutat Vella,el Raval,18,11895
2017,Ciutat Vella,el Raval,19,11563
2017,Ciutat Vella,el Raval,20,19355
2017,Ciutat Vella,el Raval,21,17881
2017,Ciutat Vella,el Barri Gòtic,22,21652
2017,Ciutat Vella,el Barri Gòtic,23,18722
2017,Ciutat Vella,el Barri Gòtic,25,17782
2017,Ciutat Vella,el Barri Gòtic,26,15751
2017,Ciutat Vella,el Barri Gòtic,27,17241
2017,Ciutat Vella,el Barri Gòtic,28,15745
2017,Ciutat Vella,el Barri Gòtic,29,14620
2017,Ciutat Vella,el Barri Gòtic,30,13944
2017,Ciutat Vella,el Barri Gòtic,31,15218
2017,Ciutat Vella,la Barceloneta,32,18088
2017,Ciutat Vella,la Barceloneta,33,14793
2017,Ciutat Vella,la Barceloneta,34,15067
2017,Ciutat Vella,la Barceloneta,35,14368
2017,Ciutat Vella,la Barceloneta,36,15549
2017,Ciutat Vella,la Barceloneta,37,15159
2017,Ciutat Vella,la Barceloneta,38,13722
2017,Ciutat Vella,la Barceloneta,39,16220
2017,Ciutat Vella,la Barceloneta,40,16597
2017,Ciutat Vella,la Barceloneta,41,14950
2017,Ciutat Vella,la Barceloneta,42,16365
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",43,21372
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",44,20091
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",45,17118
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",46,15644
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",47,15758
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",48,13115
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",49,16472
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",50,16607
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",51,14029
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",52,22425
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",53,15655
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",54,17649
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",55,20331
2017,Eixample,el Fort Pienc,1,21109
2017,Eixample,el Fort Pienc,2,20636
2017,Eixample,el Fort Pienc,3,24981
2017,Eixample,el Fort Pienc,4,17916
2017,Eixample,el Fort Pienc,5,24051
2017,Eixample,el Fort Pienc,6,25428
2017,Eixample,el Fort Pienc,7,25789
2017,Eixample,el Fort Pienc,8,23702
2017,Eixample,el Fort Pienc,9,22431
2017,Eixample,el Fort Pienc,10,21590
2017,Eixample,el Fort Pienc,11,24619
2017,Eixample,el Fort Pienc,12,19176
2017,Eixample,el Fort Pienc,13,19596
2017,Eixample,el Fort Pienc,14,17973
2017,Eixample,el Fort Pienc,15,18407
2017,Eixample,el Fort Pienc,16,23571
2017,Eixample,el Fort Pienc,17,23675
2017,Eixample,el Fort Pienc,18,24469
2017,Eixample,el Fort Pienc,19,22017
2017,Eixample,el Fort Pienc,20,20106
2017,Eixample,la Sagrada Família,21,20607
2017,Eixample,la Sagrada Família,22,20769
2017,Eixample,la Sagrada Família,23,22383
2017,Eixample,la Sagrada Família,24,20280
2017,Eixample,la Sagrada Família,25,19127
2017,Eixample,la Sagrada Família,26,21430
2017,Eixample,la Sagrada Família,27,23192
2017,Eixample,la Sagrada Família,28,21420
2017,Eixample,la Sagrada Família,29,21160
2017,Eixample,la Sagrada Família,30,17184
2017,Eixample,la Sagrada Família,31,24349
2017,Eixample,la Sagrada Família,32,22696
2017,Eixample,la Sagrada Família,33,21374
2017,Eixample,la Sagrada Família,34,18185
2017,Eixample,la Sagrada Família,35,22177
2017,Eixample,la Sagrada Família,36,24899
2017,Eixample,la Sagrada Família,37,24154
2017,Eixample,la Sagrada Família,38,24456
2017,Eixample,la Sagrada Família,39,20590
2017,Eixample,la Sagrada Família,40,20104
2017,Eixample,la Sagrada Família,41,21691
2017,Eixample,la Sagrada Família,42,25286
2017,Eixample,la Sagrada Família,43,23480
2017,Eixample,la Sagrada Família,44,19774
2017,Eixample,la Sagrada Família,45,23561
2017,Eixample,la Sagrada Família,46,19389
2017,Eixample,la Sagrada Família,47,21647
2017,Eixample,la Sagrada Família,48,20544
2017,Eixample,la Sagrada Família,49,19235
2017,Eixample,la Sagrada Família,50,20835
2017,Eixample,la Sagrada Família,51,20873
2017,Eixample,la Sagrada Família,52,22178
2017,Eixample,la Sagrada Família,53,22711
2017,Eixample,la Sagrada Família,54,22507
2017,Eixample,la Dreta de l'Eixample,55,24029
2017,Eixample,la Dreta de l'Eixample,56,23399
2017,Eixample,la Dreta de l'Eixample,57,29685
2017,Eixample,la Dreta de l'Eixample,58,26831
2017,Eixample,la Dreta de l'Eixample,59,28154
2017,Eixample,la Dreta de l'Eixample,60,25719
