Year_Reference,District,Neighborhood,Census_Section,Import_Euros
2019,Ciutat Vella,el Raval,1,14426
2019,Ciutat Vella,el Raval,2,11435
2019,Ciutat Vella,el Raval,3,11512
2019,Ciutat Vella,el Raval,4,14270
2019,Ciutat Vella,el Raval,5,12026
2019,Ciutat Vella,el Raval,6,14077
2019,Ciutat Vella,el Raval,7,12397
2019,Ciutat Vella,el Raval,8,10066
2019,Ciutat Vella,el Raval,9,12698
2019,Ciutat Vella,el Raval,10,10483
2019,Ciutat Vella,el Raval,11,10410
2019,Ciutat Vella,el Raval,12,13267
2019,Ciutat Vella,el Raval,13,14182
2019,Ciutat Vella,el Raval,14,12478
2019,Ciutat Vella,el Raval,15,13042
2019,Ciutat Vella,el Raval,16,13126
2019,Ciutat Vella,el Raval,17,12102
2019,Ciutat Vella,el Raval,18,12484
2019,Ciutat Vella,el Raval,19,12772
2019,Ciutat Vella,el Raval,20,20014
2019,Ciutat Vella,el Raval,21,18359
2019,Ciutat Vella,el Barri Gòtic,22,24242
2019,Ciutat Vella,el Barri Gòtic,23,19645
2019,Ciutat Vella,el Barri Gòtic,25,18094
2019,Ciutat Vella,el Barri Gòtic,26,18533
2019,Ciutat Vella,el Barri Gòtic,27,16804
2019,Ciutat Vella,el Barri Gòtic,28,17095
2019,Ciutat Vella,el Barri Gòtic,29,14806
2019,Ciutat Vella,el Barri Gòtic,30,14703
2019,Ciutat Vella,el Barri Gòtic,31,15144
2019,Ciutat Vella,la Barceloneta,32,19508
2019,Ciutat Vella,la Barceloneta,33,16029
2019,Ciutat Vella,la Barceloneta,34,16021
2019,Ciutat Vella,la Barceloneta,35,15557
2019,Ciutat Vella,la Barceloneta,36,17108
2019,Ciutat Vella,la Barceloneta,37,16447
2019,Ciutat Vella,la Barceloneta,38,15591
2019,Ciutat Vella,la Barceloneta,39,16309
2019,Ciutat Vella,la Barceloneta,40,17765
2019,Ciutat Vella,la Barceloneta,41,15207
2019,Ciutat Vella,la Barceloneta,42,16950
2019,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",43,23498
2019,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",44,23758
2019,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",45,18485
