Year_Reference,District,Neighborhood,Census_Section,Import_Euros
2018,Ciutat Vella,el Raval,1,13823
2018,Ciutat Vella,el Raval,2,10919
2018,Ciutat Vella,el Raval,3,11244
2018,Ciutat Vella,el Raval,4,14434
2018,Ciutat Vella,el Raval,5,11592
2018,Ciutat Vella,el Raval,6,13895
2018,Ciutat Vella,el Raval,7,12456
2018,Ciutat Vella,el Raval,8,9713
2018,Ciutat Vella,el Raval,9,11922
2018,Ciutat Vella,el Raval,10,10565
2018,Ciutat Vella,el Raval,11,10353
2018,Ciutat Vella,el Raval,12,12881
2018,Ciutat Vella,el Raval,13,13797
2018,Ciutat Vella,el Raval,14,12349
2018,Ciutat Vella,el Raval,15,12385
2018,Ciutat Vella,el Raval,16,12105
2018,Ciutat Vella,el Raval,17,11824
2018,Ciutat Vella,el Raval,18,12363
2018,Ciutat Vella,el Raval,19,12033
2018,Ciutat Vella,el Raval,20,18655
2018,Ciutat Vella,el Raval,21,18502
2018,Ciutat Vella,el Barri Gòtic,22,22565
2018,Ciutat Vella,el Barri Gòtic,23,18206
2018,Ciutat Vella,el Barri Gòtic,25,17964
2018,Ciutat Vella,el Barri Gòtic,26,17588
2018,Ciutat Vella,el Barri Gòtic,27,15630
2018,Ciutat Vella,el Barri Gòtic,28,16220
2018,Ciutat Vella,el Barri Gòtic,29,14475
2018,Ciutat Vella,el Barri Gòtic,30,13746
2018,Ciutat Vella,el Barri Gòtic,31,16152
2018,Ciutat Vella,la Barceloneta,32,17612
2018,Ciutat Vella,la Barceloneta,33,14224
2018,Ciutat Vella,la Barceloneta,34,15433
2018,Ciutat Vella,la Barceloneta,35,15160
2018,Ciutat Vella,la Barceloneta,36,15971
2018,Ciutat Vella,la Barceloneta,37,15742
2018,Ciutat Vella,la Barceloneta,38,15057
2018,Ciutat Vella,la Barceloneta,39,16697
2018,Ciutat Vella,la Barceloneta,40,17448
2018,Ciutat Vella,la Barceloneta,41,14711
2018,Ciutat Vella,la Barceloneta,42,16550
2018,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",43,22890
2018,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",44,21255
2018,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",45,17201
2018,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",46,18899
2018,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",47,14990
2018,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",48,13325
2018,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",49,16845
2018,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",50,16540
2018,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",51,13718
2018,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",52,24205
2018,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",53,15856
2018,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",54,16889
2018,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",55,19320
2018,Eixample,el Fort Pienc,1,21700
2018,Eixample,el Fort Pienc,2,21731
2018,Eixample,el Fort Pienc,3,23893
