Year_Reference,District,Neighborhood,Census_Section,Import_Euros
2021,Ciutat Vella,el Raval,1,14078
2021,Ciutat Vella,el Raval,2,11484
2021,Ciutat Vella,el Raval,3,11867
2021,Ciutat Vella,el Raval,4,13949
2021,Ciutat Vella,el Raval,5,12281
2021,Ciutat Vella,el Raval,6,12955
2021,Ciutat Vella,el Raval,7,12622
2021,Ciutat Vella,el Raval,8,9689
2021,Ciutat Vella,el Raval,9,12680
2021,Ciutat Vella,el Raval,10,11307
2021,Ciutat Vella,el Raval,11,10282
2021,Ciutat Vella,el Raval,12,13482
2021,Ciutat Vella,el Raval,13,13660
2021,Ciutat Vella,el Raval,14,12805
2021,Ciutat Vella,el Raval,15,13307
2021,Ciutat Vella,el Raval,16,12296
2021,Ciutat Vella,el Raval,17,11515
2021,Ciutat Vella,el Raval,18,12492
2021,Ciutat Vella,el Raval,19,12257
2021,Ciutat Vella,el Raval,20,18752
2021,Ciutat Vella,el Raval,21,18319
2021,Ciutat Vella,el Barri Gòtic,22,18620
2021,Ciutat Vella,el Barri Gòtic,23,19182
2021,Ciutat Vella,el Barri Gòtic,25,17927
2021,Ciutat Vella,el Barri Gòtic,26,18698
2021,Ciutat Vella,el Barri Gòtic,27,17056
2021,Ciutat Vella,el Barri Gòtic,28,15908
2021,Ciutat Vella,el Barri Gòtic,29,14641
2021,Ciutat Vella,el Barri Gòtic,30,14322
2021,Ciutat Vella,el Barri Gòtic,31,14769
2021,Ciutat Vella,la Barceloneta,32,19389
2021,Ciutat Vella,la Barceloneta,33,16538
2021,Ciutat Vella,la Barceloneta,34,16958
2021,Ciutat Vella,la Barceloneta,35,16658
2021,Ciutat Vella,la Barceloneta,36,17156
2021,Ciutat Vella,la Barceloneta,37,16969
2021,Ciutat Vella,la Barceloneta,38,15459
2021,Ciutat Vella,la Barceloneta,39,17049
2021,Ciutat Vella,la Barceloneta,40,16848
2021,Ciutat Vella,la Barceloneta,41,15394
2021,Ciutat Vella,la Barceloneta,42,17189
2021,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",43,23062
2021,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",44,20646
2021,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",45,18230
2021,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",46,15912
2021,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",47,17115
2021,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",48,13759
2021,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",49,16439
2021,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",50,17371
2021,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",51,15382
2021,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",52,22594
2021,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",53,15936
2021,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",54,17440
2021,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",55,21846
2021,Eixample,el Fort Pienc,1,22212
2021,Eixample,el Fort Pienc,2,23104
2021,Eixample,el Fort Pienc,3,26143
2021,Eixample,el Fort Pienc,4,18609
2021,Eixample,el Fort Pienc,5,25143
2021,Eixample,el Fort Pienc,6,25482
2021,Eixample,el Fort Pienc,7,26654
2021,Eixample,el Fort Pienc,8,24362
2021,Eixample,el Fort Pienc,9,24055
2021,Eixample,el Fort Pienc,10,22418
2021,Eixample,el Fort Pienc,11,23833
2021,Eixample,el Fort Pienc,12,19562
2021,Eixample,el Fort Pienc,13,20872
2021,Eixample,el Fort Pienc,14,19198
2021,Eixample,el Fort Pienc,15,19464
2021,Eixample,el Fort Pienc,16,25178
2021,Eixample,el Fort Pienc,17,24674
2021,Eixample,el Fort Pienc,18,24423
2021,Eixample,el Fort Pienc,19,23025
2021,Eixample,el Fort Pienc,20,20774
2021,Eixample,la Sagrada Família,21,22338
2021,Eixample,la Sagrada Família,22,22629
2021,Eixample,la Sagrada Família,23,24019
2021,Eixample,la Sagrada Família,24,21612
2021,Eixample,la Sagrada Família,25,21850
2021,Eixample,la Sagrada Família,26,23112
2021,Eixample,la Sagrada Família,27,22491
2021,Eixample,la Sagrada Família,28,22451
2021,Eixample,la Sagrada Família,29,23699
2021,Eixample,la Sagrada Família,30,18932
2021,Eixample,la Sagrada Família,31,23826
2021,Eixample,la Sagrada Família,32,23115
2021,Eixample,la Sagrada Família,33,22115
2021,Eixample,la Sagrada Família,34,20205
2021,Eixample,la Sagrada Família,35,22915
2021,Eixample,la Sagrada Família,36,24861
2021,Eixample,la Sagrada Família,37,24638
2021,Eixample,la Sagrada Família,38,25801
2021,Eixample,la Sagrada Família,39,22122
2021,Eixample,la Sagrada Família,40,20475
2021,Eixample,la Sagrada Família,41,22432
2021,Eixample,la Sagrada Família,42,25331
2021,Eixample,la Sagrada Família,43,23801
2021,Eixample,la Sagrada Família,44,19817
2021,Eixample,la Sagrada Família,45,23485
2021,Eixample,la Sagrada Família,46,21091
2021,Eixample,la Sagrada Família,47,21774
2021,Eixample,la Sagrada Família,48,21011
