Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2020,1,Ciutat Vella,1,el Raval,1,13072
2020,1,Ciutat Vella,1,el Raval,2,10006
2020,1,Ciutat Vella,1,el Raval,3,10189
2020,1,Ciutat Vella,1,el Raval,4,12748
2020,1,Ciutat Vella,1,el Raval,5,10964
2020,1,Ciutat Vella,1,el Raval,6,11827
2020,1,Ciutat Vella,1,el Raval,7,11184
2020,1,Ciutat Vella,1,el Raval,8,8401
2020,1,Ciutat Vella,1,el Raval,9,11569
2020,1,Ciutat Vella,1,el Raval,10,8970
2020,1,Ciutat Vella,1,el Raval,11,8852
2020,1,Ciutat Vella,1,el Raval,12,11925
2020,1,Ciutat Vella,1,el Raval,13,12182
2020,1,Ciutat Vella,1,el Raval,14,11160
2020,1,Ciutat Vella,1,el Raval,15,11577
2020,1,Ciutat Vella,1,el Raval,16,10926
2020,1,Ciutat Vella,1,el Raval,17,10572
2020,1,Ciutat Vella,1,el Raval,18,10743
2020,1,Ciutat Vella,1,el Raval,19,11049
2020,1,Ciutat Vella,1,el Raval,20,17361
2020,1,Ciutat Vella,1,el Raval,21,16743
2020,1,Ciutat Vella,2,el Barri Gòtic,22,20772
2020,1,Ciutat Vella,2,el Barri Gòtic,23,17755
2020,1,Ciutat Vella,2,el Barri Gòtic,25,15921
2020,1,Ciutat Vella,2,el Barri Gòtic,26,17361
2020,1,Ciutat Vella,2,el Barri Gòtic,27,15792
2020,1,Ciutat Vella,2,el Barri Gòtic,28,15179
2020,1,Ciutat Vella,2,el Barri Gòtic,29,12057
2020,1,Ciutat Vella,2,el Barri Gòtic,30,13553
2020,1,Ciutat Vella,2,el Barri Gòtic,31,13048
2020,1,Ciutat Vella,3,la Barceloneta,32,17287
2020,1,Ciutat Vella,3,la Barceloneta,33,14041
2020,1,Ciutat Vella,3,la Barceloneta,34,14994
2020,1,Ciutat Vella,3,la Barceloneta,35,14739
2020,1,Ciutat Vella,3,la Barceloneta,36,16084
2020,1,Ciutat Vella,3,la Barceloneta,37,14904
2020,1,Ciutat Vella,3,la Barceloneta,38,13825
2020,1,Ciutat Vella,3,la Barceloneta,39,14886
2020,1,Ciutat Vella,3,la Barceloneta,40,16069
2020,1,Ciutat Vella,3,la Barceloneta,41,13619
2020,1,Ciutat Vella,3,la Barceloneta,42,15604
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,22110
