Year_Reference,District,Neighborhood,Value,Birth_Place_Region,Sex
1998,Ciutat Vella,el Raval,5,Eastern Africa,Female
1998,Ciutat Vella,el Raval,..,Eastern Africa,Male
1998,Ciutat Vella,el Raval,9,Middle Africa,Female
1998,Ciutat Vella,el Raval,7,Middle Africa,Male
1998,Ciutat Vella,el Raval,497,Northern Africa,Female
1998,Ciutat Vella,el Raval,583,Northern Africa,Male
1998,Ciutat Vella,el Raval,..,Southern Africa,Male
1998,Ciutat Vella,el Raval,23,Western Africa,Female
1998,Ciutat Vella,el Raval,24,Western Africa,Male
1998,Ciutat Vella,el Raval,208,Caribbean,Female
1998,Ciutat Vella,el Raval,64,Caribbean,Male
1998,Ciutat Vella,el Raval,95,Central America,Female
1998,Ciutat Vella,el Raval,47,Central America,Male
1998,Ciutat Vella,el Raval,334,South America,Female
1998,Ciutat Vella,el Raval,325,South America,Male
1998,Ciutat Vella,el Raval,12,Northern America,Female
1998,Ciutat Vella,el Raval,23,Northern America,Male
1998,Ciutat Vella,el Raval,19,Eastern Asia,Female
1998,Ciutat Vella,el Raval,20,Eastern Asia,Male
1998,Ciutat Vella,el Raval,161,Southern Asia,Female
1998,Ciutat Vella,el Raval,560,Southern Asia,Male
1998,Ciutat Vella,el Raval,718,South-Eastern Asia,Female
1998,Ciutat Vella,el Raval,457,South-Eastern Asia,Male
1998,Ciutat Vella,el Raval,7,Western Asia,Female
1998,Ciutat Vella,el Raval,19,Western Asia,Male
1998,Ciutat Vella,el Raval,17,Eastern Europe,Female
1998,Ciutat Vella,el Raval,18,Eastern Europe,Male
1998,Ciutat Vella,el Raval,26,Northern Europe,Female
1998,Ciutat Vella,el Raval,33,Northern Europe,Male
1998,Ciutat Vella,el Raval,16210,Southern Europe,Female
1998,Ciutat Vella,el Raval,14300,Southern Europe,Male
1998,Ciutat Vella,el Raval,161,Western Europe,Female
1998,Ciutat Vella,el Raval,157,Western Europe,Male
1998,Ciutat Vella,el Raval,..,Australia and New Zealand,Female
1998,Ciutat Vella,el Raval,..,Australia and New Zealand,Male
