Year_Reference,District,Neighborhood,Value,Birth_Place_Region,Sex
2020,Ciutat Vella,el Raval,19,Eastern Africa,Female
2020,Ciutat Vella,el Raval,18,Eastern Africa,Male
2020,Ciutat Vella,el Raval,9,Middle Africa,Female
2020,Ciutat Vella,el Raval,29,Middle Africa,Male
2020,Ciutat Vella,el Raval,792,Northern Africa,Female
2020,Ciutat Vella,el Raval,1290,Northern Africa,Male
2020,Ciutat Vella,el Raval,9,Southern Africa,Female
2020,Ciutat Vella,el Raval,7,Southern Africa,Male
2020,Ciutat Vella,el Raval,74,Western Africa,Female
2020,Ciutat Vella,el Raval,181,Western Africa,Male
2020,Ciutat Vella,el Raval,299,Caribbean,Female
2020,Ciutat Vella,el Raval,274,Caribbean,Male
2020,Ciutat Vella,el Raval,371,Central America,Female
2020,Ciutat Vella,el Raval,340,Central America,Male
2020,Ciutat Vella,el Raval,2507,South America,Female
2020,Ciutat Vella,el Raval,2566,South America,Male
2020,Ciutat Vella,el Raval,152,Northern America,Female
2020,Ciutat Vella,el Raval,155,Northern America,Male
2020,Ciutat Vella,el Raval,22,Central Asia,Female
2020,Ciutat Vella,el Raval,11,Central Asia,Male
2020,Ciutat Vella,el Raval,233,Eastern Asia,Female
2020,Ciutat Vella,el Raval,185,Eastern Asia,Male
2020,Ciutat Vella,el Raval,2397,Southern Asia,Female
2020,Ciutat Vella,el Raval,6225,Southern Asia,Male
2020,Ciutat Vella,el Raval,3217,South-Eastern Asia,Female
2020,Ciutat Vella,el Raval,2228,South-Eastern Asia,Male
2020,Ciutat Vella,el Raval,239,Western Asia,Female
2020,Ciutat Vella,el Raval,256,Western Asia,Male
2020,Ciutat Vella,el Raval,583,Eastern Europe,Female
2020,Ciutat Vella,el Raval,396,Eastern Europe,Male
2020,Ciutat Vella,el Raval,435,Northern Europe,Female
2020,Ciutat Vella,el Raval,472,Northern Europe,Male
2020,Ciutat Vella,el Raval,10075,Southern Europe,Female
2020,Ciutat Vella,el Raval,10414,Southern Europe,Male
2020,Ciutat Vella,el Raval,780,Western Europe,Female
2020,Ciutat Vella,el Raval,850,Western Europe,Male
2020,Ciutat Vella,el Raval,23,Australia and New Zealand,Female
2020,Ciutat Vella,el Raval,22,Australia and New Zealand,Male
2020,Ciutat Vella,el Raval,14,Not available,Female
2020,Ciutat Vella,el Raval,11,Not available,Male
2020,Ciutat Vella,el Barri Gòtic,10,Eastern Africa,Female
2020,Ciutat Vella,el Barri Gòtic,16,Eastern Africa,Male
2020,Ciutat Vella,el Barri Gòtic,19,Middle Africa,Female
2020,Ciutat Vella,el Barri Gòtic,9,Middle Africa,Male
2020,Ciutat Vella,el Barri Gòtic,296,Northern Africa,Female
2020,Ciutat Vella,el Barri Gòtic,656,Northern Africa,Male
2020,Ciutat Vella,el Barri Gòtic,11,Southern Africa,Female
2020,Ciutat Vella,el Barri Gòtic,13,Southern Africa,Male
2020,Ciutat Vella,el Barri Gòtic,36,Western Africa,Female
2020,Ciutat Vella,el Barri Gòtic,167,Western Africa,Male
2020,Ciutat Vella,el Barri Gòtic,107,Caribbean,Female
2020,Ciutat Vella,el Barri Gòtic,93,Caribbean,Male
2020,Ciutat Vella,el Barri Gòtic,321,Central America,Female
2020,Ciutat Vella,el Barri Gòtic,201,Central America,Male
2020,Ciutat Vella,el Barri Gòtic,1416,South America,Female
2020,Ciutat Vella,el Barri Gòtic,1337,South America,Male
2020,Ciutat Vella,el Barri Gòtic,141,Northern America,Female
2020,Ciutat Vella,el Barri Gòtic,155,Northern America,Male
2020,Ciutat Vella,el Barri Gòtic,11,Central Asia,Female
2020,Ciutat Vella,el Barri Gòtic,7,Central Asia,Male
2020,Ciutat Vella,el Barri Gòtic,120,Eastern Asia,Female
2020,Ciutat Vella,el Barri Gòtic,98,Eastern Asia,Male
2020,Ciutat Vella,el Barri Gòtic,399,Southern Asia,Female
2020,Ciutat Vella,el Barri Gòtic,4569,Southern Asia,Male
2020,Ciutat Vella,el Barri Gòtic,289,South-Eastern Asia,Female
2020,Ciutat Vella,el Barri Gòtic,183,South-Eastern Asia,Male
2020,Ciutat Vella,el Barri Gòtic,115,Western Asia,Female
2020,Ciutat Vella,el Barri Gòtic,161,Western Asia,Male
2020,Ciutat Vella,el Barri Gòtic,414,Eastern Europe,Female
2020,Ciutat Vella,el Barri Gòtic,295,Eastern Europe,Male
2020,Ciutat Vella,el Barri Gòtic,331,Northern Europe,Female
2020,Ciutat Vella,el Barri Gòtic,329,Northern Europe,Male
2020,Ciutat Vella,el Barri Gòtic,4030,Southern Europe,Female
2020,Ciutat Vella,el Barri Gòtic,4120,Southern Europe,Male
2020,Ciutat Vella,el Barri Gòtic,568,Western Europe,Female
2020,Ciutat Vella,el Barri Gòtic,592,Western Europe,Male
2020,Ciutat Vella,el Barri Gòtic,25,Australia and New Zealand,Female
2020,Ciutat Vella,el Barri Gòtic,33,Australia and New Zealand,Male
2020,Ciutat Vella,el Barri Gòtic,15,Not available,Female
2020,Ciutat Vella,el Barri Gòtic,7,Not available,Male
2020,Ciutat Vella,la Barceloneta,..,Eastern Africa,Female
2020,Ciutat Vella,la Barceloneta,..,Eastern Africa,Male
2020,Ciutat Vella,la Barceloneta,..,Middle Africa,Female
2020,Ciutat Vella,la Barceloneta,..,Middle Africa,Male
2020,Ciutat Vella,la Barceloneta,190,Northern Africa,Female
2020,Ciutat Vella,la Barceloneta,322,Northern Africa,Male
2020,Ciutat Vella,la Barceloneta,5,Southern Africa,Female
