Year_Reference,District,Neighborhood,Value,Birth_Place_Region,Sex
2011,Ciutat Vella,el Raval,12,Eastern Africa,Female
2011,Ciutat Vella,el Raval,10,Eastern Africa,Male
2011,Ciutat Vella,el Raval,7,Middle Africa,Female
2011,Ciutat Vella,el Raval,18,Middle Africa,Male
2011,Ciutat Vella,el Raval,789,Northern Africa,Female
2011,Ciutat Vella,el Raval,1126,Northern Africa,Male
2011,Ciutat Vella,el Raval,..,Southern Africa,Female
2011,Ciutat Vella,el Raval,8,Southern Africa,Male
2011,Ciutat Vella,el Raval,33,Western Africa,Female
2011,Ciutat Vella,el Raval,122,Western Africa,Male
2011,Ciutat Vella,el Raval,392,Caribbean,Female
2011,Ciutat Vella,el Raval,315,Caribbean,Male
2011,Ciutat Vella,el Raval,237,Central America,Female
2011,Ciutat Vella,el Raval,221,Central America,Male
2011,Ciutat Vella,el Raval,2238,South America,Female
2011,Ciutat Vella,el Raval,2242,South America,Male
2011,Ciutat Vella,el Raval,95,Northern America,Female
2011,Ciutat Vella,el Raval,117,Northern America,Male
2011,Ciutat Vella,el Raval,..,Central Asia,Female
2011,Ciutat Vella,el Raval,6,Central Asia,Male
2011,Ciutat Vella,el Raval,177,Eastern Asia,Female
2011,Ciutat Vella,el Raval,177,Eastern Asia,Male
2011,Ciutat Vella,el Raval,1601,Southern Asia,Female
2011,Ciutat Vella,el Raval,6664,Southern Asia,Male
2011,Ciutat Vella,el Raval,2981,South-Eastern Asia,Female
2011,Ciutat Vella,el Raval,2212,South-Eastern Asia,Male
2011,Ciutat Vella,el Raval,77,Western Asia,Female
2011,Ciutat Vella,el Raval,157,Western Asia,Male
2011,Ciutat Vella,el Raval,462,Eastern Europe,Female
2011,Ciutat Vella,el Raval,320,Eastern Europe,Male
2011,Ciutat Vella,el Raval,317,Northern Europe,Female
2011,Ciutat Vella,el Raval,246,Northern Europe,Male
2011,Ciutat Vella,el Raval,11774,Southern Europe,Female
2011,Ciutat Vella,el Raval,11358,Southern Europe,Male
2011,Ciutat Vella,el Raval,588,Western Europe,Female
2011,Ciutat Vella,el Raval,586,Western Europe,Male
2011,Ciutat Vella,el Raval,18,Australia and New Zealand,Female
2011,Ciutat Vella,el Raval,11,Australia and New Zealand,Male
2011,Ciutat Vella,el Raval,..,Not available,Female
2011,Ciutat Vella,el Raval,..,Not available,Male
2011,Ciutat Vella,el Barri Gòtic,..,Eastern Africa,Female
2011,Ciutat Vella,el Barri Gòtic,11,Eastern Africa,Male
2011,Ciutat Vella,el Barri Gòtic,7,Middle Africa,Female
2011,Ciutat Vella,el Barri Gòtic,5,Middle Africa,Male
2011,Ciutat Vella,el Barri Gòtic,145,Northern Africa,Female
2011,Ciutat Vella,el Barri Gòtic,382,Northern Africa,Male
2011,Ciutat Vella,el Barri Gòtic,..,Southern Africa,Female
2011,Ciutat Vella,el Barri Gòtic,..,Southern Africa,Male
2011,Ciutat Vella,el Barri Gòtic,16,Western Africa,Female
2011,Ciutat Vella,el Barri Gòtic,127,Western Africa,Male
2011,Ciutat Vella,el Barri Gòtic,87,Caribbean,Female
2011,Ciutat Vella,el Barri Gòtic,79,Caribbean,Male
2011,Ciutat Vella,el Barri Gòtic,179,Central America,Female
2011,Ciutat Vella,el Barri Gòtic,141,Central America,Male
2011,Ciutat Vella,el Barri Gòtic,1034,South America,Female
2011,Ciutat Vella,el Barri Gòtic,1088,South America,Male
2011,Ciutat Vella,el Barri Gòtic,91,Northern America,Female
2011,Ciutat Vella,el Barri Gòtic,101,Northern America,Male
2011,Ciutat Vella,el Barri Gòtic,6,Central Asia,Female
2011,Ciutat Vella,el Barri Gòtic,..,Central Asia,Male
2011,Ciutat Vella,el Barri Gòtic,85,Eastern Asia,Female
2011,Ciutat Vella,el Barri Gòtic,71,Eastern Asia,Male
2011,Ciutat Vella,el Barri Gòtic,159,Southern Asia,Female
2011,Ciutat Vella,el Barri Gòtic,1380,Southern Asia,Male
2011,Ciutat Vella,el Barri Gòtic,189,South-Eastern Asia,Female
2011,Ciutat Vella,el Barri Gòtic,133,South-Eastern Asia,Male
2011,Ciutat Vella,el Barri Gòtic,43,Western Asia,Female
2011,Ciutat Vella,el Barri Gòtic,58,Western Asia,Male
2011,Ciutat Vella,el Barri Gòtic,183,Eastern Europe,Female
2011,Ciutat Vella,el Barri Gòtic,186,Eastern Europe,Male
2011,Ciutat Vella,el Barri Gòtic,230,Northern Europe,Female
2011,Ciutat Vella,el Barri Gòtic,198,Northern Europe,Male
2011,Ciutat Vella,el Barri Gòtic,5072,Southern Europe,Female
2011,Ciutat Vella,el Barri Gòtic,5302,Southern Europe,Male
2011,Ciutat Vella,el Barri Gòtic,424,Western Europe,Female
2011,Ciutat Vella,el Barri Gòtic,433,Western Europe,Male
2011,Ciutat Vella,el Barri Gòtic,9,Australia and New Zealand,Female
2011,Ciutat Vella,el Barri Gòtic,12,Australia and New Zealand,Male
2011,Ciutat Vella,el Barri Gòtic,..,Not available,Female
2011,Ciutat Vella,el Barri Gòtic,..,Not available,Male
2011,Ciutat Vella,la Barceloneta,..,Eastern Africa,Female
2011,Ciutat Vella,la Barceloneta,..,Eastern Africa,Male
2011,Ciutat Vella,la Barceloneta,5,Middle Africa,Female
2011,Ciutat Vella,la Barceloneta,227,Northern Africa,Female
2011,Ciutat Vella,la Barceloneta,379,Northern Africa,Male
2011,Ciutat Vella,la Barceloneta,..,Southern Africa,Female
2011,Ciutat Vella,la Barceloneta,..,Southern Africa,Male
2011,Ciutat Vella,la Barceloneta,11,Western Africa,Female
2011,Ciutat Vella,la Barceloneta,18,Western Africa,Male
2011,Ciutat Vella,la Barceloneta,89,Caribbean,Female
2011,Ciutat Vella,la Barceloneta,73,Caribbean,Male
2011,Ciutat Vella,la Barceloneta,84,Central America,Female
2011,Ciutat Vella,la Barceloneta,75,Central America,Male
2011,Ciutat Vella,la Barceloneta,794,South America,Female
2011,Ciutat Vella,la Barceloneta,786,South America,Male
2011,Ciutat Vella,la Barceloneta,55,Northern America,Female
2011,Ciutat Vella,la Barceloneta,51,Northern America,Male
2011,Ciutat Vella,la Barceloneta,..,Central Asia,Male
2011,Ciutat Vella,la Barceloneta,32,Eastern Asia,Female
2011,Ciutat Vella,la Barceloneta,25,Eastern Asia,Male
2011,Ciutat Vella,la Barceloneta,101,Southern Asia,Female
2011,Ciutat Vella,la Barceloneta,390,Southern Asia,Male
2011,Ciutat Vella,la Barceloneta,22,South-Eastern Asia,Female
2011,Ciutat Vella,la Barceloneta,15,South-Eastern Asia,Male
2011,Ciutat Vella,la Barceloneta,29,Western Asia,Female
2011,Ciutat Vella,la Barceloneta,39,Western Asia,Male
2011,Ciutat Vella,la Barceloneta,186,Eastern Europe,Female
2011,Ciutat Vella,la Barceloneta,148,Eastern Europe,Male
2011,Ciutat Vella,la Barceloneta,168,Northern Europe,Female
2011,Ciutat Vella,la Barceloneta,158,Northern Europe,Male
2011,Ciutat Vella,la Barceloneta,5858,Southern Europe,Female
2011,Ciutat Vella,la Barceloneta,5394,Southern Europe,Male
2011,Ciutat Vella,la Barceloneta,261,Western Europe,Female
2011,Ciutat Vella,la Barceloneta,245,Western Europe,Male
2011,Ciutat Vella,la Barceloneta,7,Australia and New Zealand,Female
2011,Ciutat Vella,la Barceloneta,9,Australia and New Zealand,Male
2011,Ciutat Vella,la Barceloneta,..,Not available,Female
2011,Ciutat Vella,la Barceloneta,..,Not available,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",7,Eastern Africa,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",11,Eastern Africa,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",5,Middle Africa,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",11,Middle Africa,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",344,Northern Africa,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",717,Northern Africa,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",6,Southern Africa,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",..,Southern Africa,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",29,Western Africa,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",190,Western Africa,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",294,Caribbean,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",225,Caribbean,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",140,Central America,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",153,Central America,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",1286,South America,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",1213,South America,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",119,Northern America,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",118,Northern America,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",6,Central Asia,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",..,Central Asia,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",202,Eastern Asia,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",195,Eastern Asia,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",111,Southern Asia,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",477,Southern Asia,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",231,South-Eastern Asia,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",165,South-Eastern Asia,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",25,Western Asia,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",34,Western Asia,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",181,Eastern Europe,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",133,Eastern Europe,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",319,Northern Europe,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",279,Northern Europe,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",7371,Southern Europe,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",6671,Southern Europe,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",551,Western Europe,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",539,Western Europe,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",26,Australia and New Zealand,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",23,Australia and New Zealand,Male
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",..,Not available,Female
2011,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",..,Not available,Male
2011,Eixample,el Fort Pienc,8,Eastern Africa,Female
2011,Eixample,el Fort Pienc,8,Eastern Africa,Male
2011,Eixample,el Fort Pienc,6,Middle Africa,Female
2011,Eixample,el Fort Pienc,10,Middle Africa,Male
2011,Eixample,el Fort Pienc,100,Northern Africa,Female
2011,Eixample,el Fort Pienc,167,Northern Africa,Male
2011,Eixample,el Fort Pienc,..,Southern Africa,Female
2011,Eixample,el Fort Pienc,..,Southern Africa,Male
2011,Eixample,el Fort Pienc,20,Western Africa,Female
2011,Eixample,el Fort Pienc,80,Western Africa,Male
2011,Eixample,el Fort Pienc,180,Caribbean,Female
2011,Eixample,el Fort Pienc,122,Caribbean,Male
2011,Eixample,el Fort Pienc,230,Central America,Female
2011,Eixample,el Fort Pienc,143,Central America,Male
2011,Eixample,el Fort Pienc,1646,South America,Female
2011,Eixample,el Fort Pienc,1454,South America,Male
2011,Eixample,el Fort Pienc,64,Northern America,Female
2011,Eixample,el Fort Pienc,39,Northern America,Male
2011,Eixample,el Fort Pienc,..,Central Asia,Female
2011,Eixample,el Fort Pienc,5,Central Asia,Male
2011,Eixample,el Fort Pienc,409,Eastern Asia,Female
2011,Eixample,el Fort Pienc,399,Eastern Asia,Male
2011,Eixample,el Fort Pienc,46,Southern Asia,Female
2011,Eixample,el Fort Pienc,779,Southern Asia,Male
2011,Eixample,el Fort Pienc,34,South-Eastern Asia,Female
2011,Eixample,el Fort Pienc,19,South-Eastern Asia,Male
2011,Eixample,el Fort Pienc,50,Western Asia,Female
2011,Eixample,el Fort Pienc,51,Western Asia,Male
2011,Eixample,el Fort Pienc,237,Eastern Europe,Female
2011,Eixample,el Fort Pienc,177,Eastern Europe,Male
2011,Eixample,el Fort Pienc,128,Northern Europe,Female
2011,Eixample,el Fort Pienc,126,Northern Europe,Male
2011,Eixample,el Fort Pienc,13397,Southern Europe,Female
2011,Eixample,el Fort Pienc,11472,Southern Europe,Male
2011,Eixample,el Fort Pienc,393,Western Europe,Female
2011,Eixample,el Fort Pienc,355,Western Europe,Male
2011,Eixample,el Fort Pienc,..,Australia and New Zealand,Female
2011,Eixample,el Fort Pienc,7,Australia and New Zealand,Male
2011,Eixample,el Fort Pienc,10,Not available,Female
2011,Eixample,el Fort Pienc,..,Not available,Male
2011,Eixample,la Sagrada Família,7,Eastern Africa,Female
2011,Eixample,la Sagrada Família,7,Eastern Africa,Male
2011,Eixample,la Sagrada Família,5,Middle Africa,Female
2011,Eixample,la Sagrada Família,8,Middle Africa,Male
2011,Eixample,la Sagrada Família,174,Northern Africa,Female
2011,Eixample,la Sagrada Família,241,Northern Africa,Male
2011,Eixample,la Sagrada Família,..,Southern Africa,Female
2011,Eixample,la Sagrada Família,..,Southern Africa,Male
2011,Eixample,la Sagrada Família,13,Western Africa,Female
2011,Eixample,la Sagrada Família,37,Western Africa,Male
2011,Eixample,la Sagrada Família,322,Caribbean,Female
2011,Eixample,la Sagrada Família,241,Caribbean,Male
2011,Eixample,la Sagrada Família,261,Central America,Female
2011,Eixample,la Sagrada Família,195,Central America,Male
2011,Eixample,la Sagrada Família,3174,South America,Female
2011,Eixample,la Sagrada Família,2589,South America,Male
