Year_Reference,District,Neighborhood,Value,Birth_Place_Region,Sex
2021,Ciutat Vella,el Raval,15,Eastern Africa,Female
2021,Ciutat Vella,el Raval,22,Eastern Africa,Male
2021,Ciutat Vella,el Raval,13,Middle Africa,Female
2021,Ciutat Vella,el Raval,30,Middle Africa,Male
2021,Ciutat Vella,el Raval,821,Northern Africa,Female
2021,Ciutat Vella,el Raval,1309,Northern Africa,Male
2021,Ciutat Vella,el Raval,10,Southern Africa,Female
2021,Ciutat Vella,el Raval,5,Southern Africa,Male
2021,Ciutat Vella,el Raval,74,Western Africa,Female
2021,Ciutat Vella,el Raval,186,Western Africa,Male
2021,Ciutat Vella,el Raval,307,Caribbean,Female
2021,Ciutat Vella,el Raval,308,Caribbean,Male
2021,Ciutat Vella,el Raval,395,Central America,Female
2021,Ciutat Vella,el Raval,348,Central America,Male
2021,Ciutat Vella,el Raval,2689,South America,Female
2021,Ciutat Vella,el Raval,2706,South America,Male
2021,Ciutat Vella,el Raval,171,Northern America,Female
2021,Ciutat Vella,el Raval,173,Northern America,Male
2021,Ciutat Vella,el Raval,18,Central Asia,Female
2021,Ciutat Vella,el Raval,12,Central Asia,Male
2021,Ciutat Vella,el Raval,227,Eastern Asia,Female
2021,Ciutat Vella,el Raval,176,Eastern Asia,Male
2021,Ciutat Vella,el Raval,2550,Southern Asia,Female
2021,Ciutat Vella,el Raval,6330,Southern Asia,Male
2021,Ciutat Vella,el Raval,3205,South-Eastern Asia,Female
2021,Ciutat Vella,el Raval,2209,South-Eastern Asia,Male
2021,Ciutat Vella,el Raval,238,Western Asia,Female
2021,Ciutat Vella,el Raval,261,Western Asia,Male
2021,Ciutat Vella,el Raval,598,Eastern Europe,Female
2021,Ciutat Vella,el Raval,415,Eastern Europe,Male
2021,Ciutat Vella,el Raval,446,Northern Europe,Female
2021,Ciutat Vella,el Raval,489,Northern Europe,Male
2021,Ciutat Vella,el Raval,9878,Southern Europe,Female
2021,Ciutat Vella,el Raval,10340,Southern Europe,Male
2021,Ciutat Vella,el Raval,775,Western Europe,Female
2021,Ciutat Vella,el Raval,866,Western Europe,Male
2021,Ciutat Vella,el Raval,22,Australia and New Zealand,Female
2021,Ciutat Vella,el Raval,22,Australia and New Zealand,Male
2021,Ciutat Vella,el Raval,14,Not available,Female
2021,Ciutat Vella,el Raval,15,Not available,Male
2021,Ciutat Vella,el Barri Gòtic,11,Eastern Africa,Female
2021,Ciutat Vella,el Barri Gòtic,16,Eastern Africa,Male
2021,Ciutat Vella,el Barri Gòtic,22,Middle Africa,Female
2021,Ciutat Vella,el Barri Gòtic,9,Middle Africa,Male
2021,Ciutat Vella,el Barri Gòtic,305,Northern Africa,Female
2021,Ciutat Vella,el Barri Gòtic,801,Northern Africa,Male
2021,Ciutat Vella,el Barri Gòtic,11,Southern Africa,Female
