Year_Reference,District,Neighborhood,Value,Birth_Place_Region,Sex
2003,Ciutat Vella,el Raval,7,Eastern Africa,Female
2003,Ciutat Vella,el Raval,5,Eastern Africa,Male
2003,Ciutat Vella,el Raval,11,Middle Africa,Female
2003,Ciutat Vella,el Raval,16,Middle Africa,Male
2003,Ciutat Vella,el Raval,850,Northern Africa,Female
2003,Ciutat Vella,el Raval,1504,Northern Africa,Male
2003,Ciutat Vella,el Raval,..,Southern Africa,Male
2003,Ciutat Vella,el Raval,50,Western Africa,Female
2003,Ciutat Vella,el Raval,125,Western Africa,Male
2003,Ciutat Vella,el Raval,493,Caribbean,Female
2003,Ciutat Vella,el Raval,266,Caribbean,Male
2003,Ciutat Vella,el Raval,153,Central America,Female
2003,Ciutat Vella,el Raval,122,Central America,Male
2003,Ciutat Vella,el Raval,2282,South America,Female
2003,Ciutat Vella,el Raval,2285,South America,Male
2003,Ciutat Vella,el Raval,42,Northern America,Female
2003,Ciutat Vella,el Raval,63,Northern America,Male
2003,Ciutat Vella,el Raval,..,Central Asia,Female
2003,Ciutat Vella,el Raval,..,Central Asia,Male
2003,Ciutat Vella,el Raval,116,Eastern Asia,Female
2003,Ciutat Vella,el Raval,130,Eastern Asia,Male
2003,Ciutat Vella,el Raval,506,Southern Asia,Female
2003,Ciutat Vella,el Raval,4901,Southern Asia,Male
2003,Ciutat Vella,el Raval,1901,South-Eastern Asia,Female
2003,Ciutat Vella,el Raval,1340,South-Eastern Asia,Male
2003,Ciutat Vella,el Raval,61,Western Asia,Female
2003,Ciutat Vella,el Raval,146,Western Asia,Male
2003,Ciutat Vella,el Raval,189,Eastern Europe,Female
2003,Ciutat Vella,el Raval,211,Eastern Europe,Male
2003,Ciutat Vella,el Raval,110,Northern Europe,Female
2003,Ciutat Vella,el Raval,125,Northern Europe,Male
2003,Ciutat Vella,el Raval,13999,Southern Europe,Female
2003,Ciutat Vella,el Raval,12976,Southern Europe,Male
2003,Ciutat Vella,el Raval,304,Western Europe,Female
2003,Ciutat Vella,el Raval,304,Western Europe,Male
2003,Ciutat Vella,el Raval,7,Australia and New Zealand,Female
2003,Ciutat Vella,el Raval,6,Australia and New Zealand,Male
2003,Ciutat Vella,el Raval,8,Not available,Female
2003,Ciutat Vella,el Raval,7,Not available,Male
2003,Ciutat Vella,el Barri Gòtic,..,Eastern Africa,Female
2003,Ciutat Vella,el Barri Gòtic,6,Eastern Africa,Male
2003,Ciutat Vella,el Barri Gòtic,11,Middle Africa,Female
2003,Ciutat Vella,el Barri Gòtic,21,Middle Africa,Male
2003,Ciutat Vella,el Barri Gòtic,195,Northern Africa,Female
2003,Ciutat Vella,el Barri Gòtic,1315,Northern Africa,Male
2003,Ciutat Vella,el Barri Gòtic,..,Southern Africa,Female
2003,Ciutat Vella,el Barri Gòtic,..,Southern Africa,Male
2003,Ciutat Vella,el Barri Gòtic,56,Western Africa,Female
2003,Ciutat Vella,el Barri Gòtic,352,Western Africa,Male
2003,Ciutat Vella,el Barri Gòtic,150,Caribbean,Female
2003,Ciutat Vella,el Barri Gòtic,99,Caribbean,Male
2003,Ciutat Vella,el Barri Gòtic,90,Central America,Female
2003,Ciutat Vella,el Barri Gòtic,85,Central America,Male
2003,Ciutat Vella,el Barri Gòtic,1333,South America,Female
2003,Ciutat Vella,el Barri Gòtic,1604,South America,Male
2003,Ciutat Vella,el Barri Gòtic,54,Northern America,Female
2003,Ciutat Vella,el Barri Gòtic,42,Northern America,Male
2003,Ciutat Vella,el Barri Gòtic,8,Central Asia,Female
2003,Ciutat Vella,el Barri Gòtic,13,Central Asia,Male
