Year_Reference,District,Neighborhood,Value,Birth_Place_Region,Sex
2009,Ciutat Vella,el Raval,12,Eastern Africa,Female
2009,Ciutat Vella,el Raval,11,Eastern Africa,Male
2009,Ciutat Vella,el Raval,14,Middle Africa,Female
2009,Ciutat Vella,el Raval,14,Middle Africa,Male
2009,Ciutat Vella,el Raval,778,Northern Africa,Female
2009,Ciutat Vella,el Raval,1292,Northern Africa,Male
2009,Ciutat Vella,el Raval,..,Southern Africa,Female
2009,Ciutat Vella,el Raval,9,Southern Africa,Male
2009,Ciutat Vella,el Raval,43,Western Africa,Female
2009,Ciutat Vella,el Raval,119,Western Africa,Male
2009,Ciutat Vella,el Raval,424,Caribbean,Female
2009,Ciutat Vella,el Raval,342,Caribbean,Male
2009,Ciutat Vella,el Raval,231,Central America,Female
2009,Ciutat Vella,el Raval,221,Central America,Male
2009,Ciutat Vella,el Raval,2531,South America,Female
2009,Ciutat Vella,el Raval,2465,South America,Male
2009,Ciutat Vella,el Raval,71,Northern America,Female
2009,Ciutat Vella,el Raval,107,Northern America,Male
2009,Ciutat Vella,el Raval,..,Central Asia,Female
2009,Ciutat Vella,el Raval,5,Central Asia,Male
2009,Ciutat Vella,el Raval,212,Eastern Asia,Female
2009,Ciutat Vella,el Raval,190,Eastern Asia,Male
2009,Ciutat Vella,el Raval,1043,Southern Asia,Female
2009,Ciutat Vella,el Raval,5895,Southern Asia,Male
2009,Ciutat Vella,el Raval,2815,South-Eastern Asia,Female
2009,Ciutat Vella,el Raval,2103,South-Eastern Asia,Male
2009,Ciutat Vella,el Raval,84,Western Asia,Female
2009,Ciutat Vella,el Raval,170,Western Asia,Male
2009,Ciutat Vella,el Raval,417,Eastern Europe,Female
2009,Ciutat Vella,el Raval,334,Eastern Europe,Male
2009,Ciutat Vella,el Raval,311,Northern Europe,Female
2009,Ciutat Vella,el Raval,293,Northern Europe,Male
2009,Ciutat Vella,el Raval,12340,Southern Europe,Female
2009,Ciutat Vella,el Raval,11579,Southern Europe,Male
2009,Ciutat Vella,el Raval,757,Western Europe,Female
2009,Ciutat Vella,el Raval,691,Western Europe,Male
2009,Ciutat Vella,el Raval,16,Australia and New Zealand,Female
2009,Ciutat Vella,el Raval,13,Australia and New Zealand,Male
2009,Ciutat Vella,el Raval,..,Melanesia,Male
2009,Ciutat Vella,el Raval,..,Not available,Female
2009,Ciutat Vella,el Raval,..,Not available,Male
2009,Ciutat Vella,el Barri Gòtic,..,Eastern Africa,Female
2009,Ciutat Vella,el Barri Gòtic,12,Eastern Africa,Male
2009,Ciutat Vella,el Barri Gòtic,7,Middle Africa,Female
2009,Ciutat Vella,el Barri Gòtic,18,Middle Africa,Male
2009,Ciutat Vella,el Barri Gòtic,161,Northern Africa,Female
2009,Ciutat Vella,el Barri Gòtic,487,Northern Africa,Male
2009,Ciutat Vella,el Barri Gòtic,..,Southern Africa,Female
2009,Ciutat Vella,el Barri Gòtic,7,Southern Africa,Male
2009,Ciutat Vella,el Barri Gòtic,17,Western Africa,Female
2009,Ciutat Vella,el Barri Gòtic,186,Western Africa,Male
2009,Ciutat Vella,el Barri Gòtic,101,Caribbean,Female
2009,Ciutat Vella,el Barri Gòtic,86,Caribbean,Male
2009,Ciutat Vella,el Barri Gòtic,356,Central America,Female
2009,Ciutat Vella,el Barri Gòtic,296,Central America,Male
2009,Ciutat Vella,el Barri Gòtic,2166,South America,Female
2009,Ciutat Vella,el Barri Gòtic,2325,South America,Male
2009,Ciutat Vella,el Barri Gòtic,102,Northern America,Female
2009,Ciutat Vella,el Barri Gòtic,81,Northern America,Male
2009,Ciutat Vella,el Barri Gòtic,..,Central Asia,Female
2009,Ciutat Vella,el Barri Gòtic,17,Central Asia,Male
2009,Ciutat Vella,el Barri Gòtic,82,Eastern Asia,Female
2009,Ciutat Vella,el Barri Gòtic,92,Eastern Asia,Male
2009,Ciutat Vella,el Barri Gòtic,144,Southern Asia,Female
2009,Ciutat Vella,el Barri Gòtic,1620,Southern Asia,Male
2009,Ciutat Vella,el Barri Gòtic,205,South-Eastern Asia,Female
2009,Ciutat Vella,el Barri Gòtic,141,South-Eastern Asia,Male
2009,Ciutat Vella,el Barri Gòtic,71,Western Asia,Female
2009,Ciutat Vella,el Barri Gòtic,158,Western Asia,Male
2009,Ciutat Vella,el Barri Gòtic,382,Eastern Europe,Female
2009,Ciutat Vella,el Barri Gòtic,461,Eastern Europe,Male
2009,Ciutat Vella,el Barri Gòtic,314,Northern Europe,Female
2009,Ciutat Vella,el Barri Gòtic,345,Northern Europe,Male
2009,Ciutat Vella,el Barri Gòtic,5423,Southern Europe,Female
2009,Ciutat Vella,el Barri Gòtic,5783,Southern Europe,Male
2009,Ciutat Vella,el Barri Gòtic,512,Western Europe,Female
2009,Ciutat Vella,el Barri Gòtic,583,Western Europe,Male
2009,Ciutat Vella,el Barri Gòtic,13,Australia and New Zealand,Female
2009,Ciutat Vella,el Barri Gòtic,18,Australia and New Zealand,Male
2009,Ciutat Vella,el Barri Gòtic,..,Melanesia,Male
2009,Ciutat Vella,el Barri Gòtic,9,Not available,Female
2009,Ciutat Vella,el Barri Gòtic,..,Not available,Male
2009,Ciutat Vella,la Barceloneta,..,Eastern Africa,Female
2009,Ciutat Vella,la Barceloneta,..,Eastern Africa,Male
2009,Ciutat Vella,la Barceloneta,7,Middle Africa,Female
2009,Ciutat Vella,la Barceloneta,9,Middle Africa,Male
2009,Ciutat Vella,la Barceloneta,244,Northern Africa,Female
2009,Ciutat Vella,la Barceloneta,404,Northern Africa,Male
2009,Ciutat Vella,la Barceloneta,..,Southern Africa,Female
2009,Ciutat Vella,la Barceloneta,..,Southern Africa,Male
2009,Ciutat Vella,la Barceloneta,6,Western Africa,Female
2009,Ciutat Vella,la Barceloneta,28,Western Africa,Male
2009,Ciutat Vella,la Barceloneta,108,Caribbean,Female
2009,Ciutat Vella,la Barceloneta,85,Caribbean,Male
2009,Ciutat Vella,la Barceloneta,75,Central America,Female
2009,Ciutat Vella,la Barceloneta,82,Central America,Male
2009,Ciutat Vella,la Barceloneta,843,South America,Female
