Year_Reference,District,Neighborhood,AEB,Census_Section,Value,Birth_Place,Sex
1998,Ciutat Vella,el Raval,1,1001,258,City of Barcelona,Female
1998,Ciutat Vella,el Raval,1,1001,259,City of Barcelona,Male
1998,Ciutat Vella,el Raval,1,1001,42,Rest of Catalonia,Female
1998,Ciutat Vella,el Raval,1,1001,28,Rest of Catalonia,Male
1998,Ciutat Vella,el Raval,1,1001,232,Rest of Spain,Female
1998,Ciutat Vella,el Raval,1,1001,227,Rest of Spain,Male
1998,Ciutat Vella,el Raval,1,1001,10,Rest of European Union,Female
1998,Ciutat Vella,el Raval,1,1001,5,Rest of European Union,Male
1998,Ciutat Vella,el Raval,1,1001,54,Rest of World,Female
1998,Ciutat Vella,el Raval,1,1001,45,Rest of World,Male
1998,Ciutat Vella,el Raval,1,1002,282,City of Barcelona,Female
1998,Ciutat Vella,el Raval,1,1002,240,City of Barcelona,Male
1998,Ciutat Vella,el Raval,1,1002,46,Rest of Catalonia,Female
1998,Ciutat Vella,el Raval,1,1002,27,Rest of Catalonia,Male
1998,Ciutat Vella,el Raval,1,1002,238,Rest of Spain,Female
1998,Ciutat Vella,el Raval,1,1002,192,Rest of Spain,Male
1998,Ciutat Vella,el Raval,1,1002,5,Rest of European Union,Female
1998,Ciutat Vella,el Raval,1,1002,10,Rest of European Union,Male
1998,Ciutat Vella,el Raval,1,1002,84,Rest of World,Female
1998,Ciutat Vella,el Raval,1,1002,122,Rest of World,Male
1998,Ciutat Vella,el Raval,2,1003,562,City of Barcelona,Female
1998,Ciutat Vella,el Raval,2,1003,547,City of Barcelona,Male
1998,Ciutat Vella,el Raval,2,1003,56,Rest of Catalonia,Female
1998,Ciutat Vella,el Raval,2,1003,37,Rest of Catalonia,Male
1998,Ciutat Vella,el Raval,2,1003,385,Rest of Spain,Female
1998,Ciutat Vella,el Raval,2,1003,349,Rest of Spain,Male
1998,Ciutat Vella,el Raval,2,1003,15,Rest of European Union,Female
1998,Ciutat Vella,el Raval,2,1003,19,Rest of European Union,Male
1998,Ciutat Vella,el Raval,2,1003,103,Rest of World,Female
1998,Ciutat Vella,el Raval,2,1003,120,Rest of World,Male
1998,Ciutat Vella,el Raval,2,1004,529,City of Barcelona,Female
1998,Ciutat Vella,el Raval,2,1004,511,City of Barcelona,Male
1998,Ciutat Vella,el Raval,2,1004,73,Rest of Catalonia,Female
1998,Ciutat Vella,el Raval,2,1004,59,Rest of Catalonia,Male
1998,Ciutat Vella,el Raval,2,1004,309,Rest of Spain,Female
1998,Ciutat Vella,el Raval,2,1004,288,Rest of Spain,Male
1998,Ciutat Vella,el Raval,2,1004,11,Rest of European Union,Female
1998,Ciutat Vella,el Raval,2,1004,16,Rest of European Union,Male
1998,Ciutat Vella,el Raval,2,1004,148,Rest of World,Female
1998,Ciutat Vella,el Raval,2,1004,179,Rest of World,Male
1998,Ciutat Vella,el Raval,3,1005,460,City of Barcelona,Female
1998,Ciutat Vella,el Raval,3,1005,429,City of Barcelona,Male
1998,Ciutat Vella,el Raval,3,1005,59,Rest of Catalonia,Female
1998,Ciutat Vella,el Raval,3,1005,67,Rest of Catalonia,Male
1998,Ciutat Vella,el Raval,3,1005,371,Rest of Spain,Female
1998,Ciutat Vella,el Raval,3,1005,390,Rest of Spain,Male
1998,Ciutat Vella,el Raval,3,1005,15,Rest of European Union,Female
1998,Ciutat Vella,el Raval,3,1005,18,Rest of European Union,Male
1998,Ciutat Vella,el Raval,3,1005,68,Rest of World,Female
1998,Ciutat Vella,el Raval,3,1005,93,Rest of World,Male
1998,Ciutat Vella,el Raval,3,1006,346,City of Barcelona,Female
1998,Ciutat Vella,el Raval,3,1006,337,City of Barcelona,Male
1998,Ciutat Vella,el Raval,3,1006,67,Rest of Catalonia,Female
1998,Ciutat Vella,el Raval,3,1006,54,Rest of Catalonia,Male
1998,Ciutat Vella,el Raval,3,1006,279,Rest of Spain,Female
1998,Ciutat Vella,el Raval,3,1006,239,Rest of Spain,Male
1998,Ciutat Vella,el Raval,3,1006,11,Rest of European Union,Female
1998,Ciutat Vella,el Raval,3,1006,9,Rest of European Union,Male
1998,Ciutat Vella,el Raval,3,1006,138,Rest of World,Female
1998,Ciutat Vella,el Raval,3,1006,106,Rest of World,Male
1998,Ciutat Vella,el Raval,3,1007,531,City of Barcelona,Female
1998,Ciutat Vella,el Raval,3,1007,557,City of Barcelona,Male
1998,Ciutat Vella,el Raval,3,1007,71,Rest of Catalonia,Female
1998,Ciutat Vella,el Raval,3,1007,52,Rest of Catalonia,Male
1998,Ciutat Vella,el Raval,3,1007,366,Rest of Spain,Female
1998,Ciutat Vella,el Raval,3,1007,372,Rest of Spain,Male
1998,Ciutat Vella,el Raval,3,1007,16,Rest of European Union,Female
1998,Ciutat Vella,el Raval,3,1007,9,Rest of European Union,Male
1998,Ciutat Vella,el Raval,3,1007,86,Rest of World,Female
