Year_Reference,District,Neighborhood,AEB,Census_Section,Value,Birth_Place,Sex
2017,Ciutat Vella,el Raval,1,1001,166,City of Barcelona,Female
2017,Ciutat Vella,el Raval,1,1001,157,City of Barcelona,Male
2017,Ciutat Vella,el Raval,1,1001,32,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,1,1001,41,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,1,1001,97,Rest of Spain,Female
2017,Ciutat Vella,el Raval,1,1001,123,Rest of Spain,Male
2017,Ciutat Vella,el Raval,1,1001,61,Rest of European Union,Female
2017,Ciutat Vella,el Raval,1,1001,67,Rest of European Union,Male
2017,Ciutat Vella,el Raval,1,1001,210,Rest of World,Female
2017,Ciutat Vella,el Raval,1,1001,311,Rest of World,Male
2017,Ciutat Vella,el Raval,1,1002,173,City of Barcelona,Female
2017,Ciutat Vella,el Raval,1,1002,185,City of Barcelona,Male
2017,Ciutat Vella,el Raval,1,1002,32,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,1,1002,23,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,1,1002,100,Rest of Spain,Female
2017,Ciutat Vella,el Raval,1,1002,75,Rest of Spain,Male
2017,Ciutat Vella,el Raval,1,1002,83,Rest of European Union,Female
2017,Ciutat Vella,el Raval,1,1002,77,Rest of European Union,Male
2017,Ciutat Vella,el Raval,1,1002,301,Rest of World,Female
2017,Ciutat Vella,el Raval,1,1002,546,Rest of World,Male
2017,Ciutat Vella,el Raval,2,1003,503,City of Barcelona,Female
2017,Ciutat Vella,el Raval,2,1003,529,City of Barcelona,Male
2017,Ciutat Vella,el Raval,2,1003,135,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,2,1003,135,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,2,1003,201,Rest of Spain,Female
2017,Ciutat Vella,el Raval,2,1003,203,Rest of Spain,Male
2017,Ciutat Vella,el Raval,2,1003,90,Rest of European Union,Female
2017,Ciutat Vella,el Raval,2,1003,105,Rest of European Union,Male
2017,Ciutat Vella,el Raval,2,1003,628,Rest of World,Female
2017,Ciutat Vella,el Raval,2,1003,921,Rest of World,Male
2017,Ciutat Vella,el Raval,2,1003,..,Not available,Female
2017,Ciutat Vella,el Raval,2,1003,..,Not available,Male
2017,Ciutat Vella,el Raval,2,1004,453,City of Barcelona,Female
2017,Ciutat Vella,el Raval,2,1004,430,City of Barcelona,Male
2017,Ciutat Vella,el Raval,2,1004,64,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,2,1004,67,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,2,1004,177,Rest of Spain,Female
2017,Ciutat Vella,el Raval,2,1004,193,Rest of Spain,Male
2017,Ciutat Vella,el Raval,2,1004,121,Rest of European Union,Female
2017,Ciutat Vella,el Raval,2,1004,144,Rest of European Union,Male
2017,Ciutat Vella,el Raval,2,1004,503,Rest of World,Female
2017,Ciutat Vella,el Raval,2,1004,752,Rest of World,Male
2017,Ciutat Vella,el Raval,2,1004,..,Not available,Female
2017,Ciutat Vella,el Raval,2,1004,..,Not available,Male
2017,Ciutat Vella,el Raval,3,1005,356,City of Barcelona,Female
2017,Ciutat Vella,el Raval,3,1005,340,City of Barcelona,Male
2017,Ciutat Vella,el Raval,3,1005,45,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,3,1005,51,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,3,1005,168,Rest of Spain,Female
2017,Ciutat Vella,el Raval,3,1005,157,Rest of Spain,Male
2017,Ciutat Vella,el Raval,3,1005,145,Rest of European Union,Female
2017,Ciutat Vella,el Raval,3,1005,125,Rest of European Union,Male
2017,Ciutat Vella,el Raval,3,1005,399,Rest of World,Female
2017,Ciutat Vella,el Raval,3,1005,719,Rest of World,Male
2017,Ciutat Vella,el Raval,3,1005,..,Not available,Female
2017,Ciutat Vella,el Raval,3,1006,186,City of Barcelona,Female
2017,Ciutat Vella,el Raval,3,1006,187,City of Barcelona,Male
2017,Ciutat Vella,el Raval,3,1006,35,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,3,1006,35,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,3,1006,93,Rest of Spain,Female
2017,Ciutat Vella,el Raval,3,1006,90,Rest of Spain,Male
2017,Ciutat Vella,el Raval,3,1006,102,Rest of European Union,Female
2017,Ciutat Vella,el Raval,3,1006,118,Rest of European Union,Male
2017,Ciutat Vella,el Raval,3,1006,311,Rest of World,Female
2017,Ciutat Vella,el Raval,3,1006,502,Rest of World,Male
2017,Ciutat Vella,el Raval,3,1006,..,Not available,Female
2017,Ciutat Vella,el Raval,3,1006,..,Not available,Male
2017,Ciutat Vella,el Raval,3,1007,265,City of Barcelona,Female
2017,Ciutat Vella,el Raval,3,1007,271,City of Barcelona,Male
2017,Ciutat Vella,el Raval,3,1007,36,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,3,1007,32,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,3,1007,87,Rest of Spain,Female
2017,Ciutat Vella,el Raval,3,1007,116,Rest of Spain,Male
2017,Ciutat Vella,el Raval,3,1007,89,Rest of European Union,Female
2017,Ciutat Vella,el Raval,3,1007,99,Rest of European Union,Male
2017,Ciutat Vella,el Raval,3,1007,350,Rest of World,Female
2017,Ciutat Vella,el Raval,3,1007,752,Rest of World,Male
2017,Ciutat Vella,el Raval,4,1008,349,City of Barcelona,Female
2017,Ciutat Vella,el Raval,4,1008,432,City of Barcelona,Male
2017,Ciutat Vella,el Raval,4,1008,47,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,4,1008,52,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,4,1008,139,Rest of Spain,Female
2017,Ciutat Vella,el Raval,4,1008,171,Rest of Spain,Male
2017,Ciutat Vella,el Raval,4,1008,104,Rest of European Union,Female
2017,Ciutat Vella,el Raval,4,1008,119,Rest of European Union,Male
2017,Ciutat Vella,el Raval,4,1008,664,Rest of World,Female
2017,Ciutat Vella,el Raval,4,1008,1247,Rest of World,Male
2017,Ciutat Vella,el Raval,4,1009,293,City of Barcelona,Female
2017,Ciutat Vella,el Raval,4,1009,298,City of Barcelona,Male
2017,Ciutat Vella,el Raval,4,1009,41,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,4,1009,36,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,4,1009,131,Rest of Spain,Female
2017,Ciutat Vella,el Raval,4,1009,122,Rest of Spain,Male
2017,Ciutat Vella,el Raval,4,1009,79,Rest of European Union,Female
2017,Ciutat Vella,el Raval,4,1009,79,Rest of European Union,Male
2017,Ciutat Vella,el Raval,4,1009,432,Rest of World,Female
2017,Ciutat Vella,el Raval,4,1009,652,Rest of World,Male
2017,Ciutat Vella,el Raval,4,1009,..,Not available,Female
2017,Ciutat Vella,el Raval,4,1009,..,Not available,Male
2017,Ciutat Vella,el Raval,4,1010,287,City of Barcelona,Female
2017,Ciutat Vella,el Raval,4,1010,308,City of Barcelona,Male
2017,Ciutat Vella,el Raval,4,1010,35,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,4,1010,26,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,4,1010,107,Rest of Spain,Female
2017,Ciutat Vella,el Raval,4,1010,96,Rest of Spain,Male
2017,Ciutat Vella,el Raval,4,1010,74,Rest of European Union,Female
2017,Ciutat Vella,el Raval,4,1010,78,Rest of European Union,Male
2017,Ciutat Vella,el Raval,4,1010,571,Rest of World,Female
2017,Ciutat Vella,el Raval,4,1010,922,Rest of World,Male
2017,Ciutat Vella,el Raval,5,1011,372,City of Barcelona,Female
2017,Ciutat Vella,el Raval,5,1011,414,City of Barcelona,Male
2017,Ciutat Vella,el Raval,5,1011,51,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,5,1011,56,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,5,1011,111,Rest of Spain,Female
2017,Ciutat Vella,el Raval,5,1011,119,Rest of Spain,Male
2017,Ciutat Vella,el Raval,5,1011,122,Rest of European Union,Female
2017,Ciutat Vella,el Raval,5,1011,98,Rest of European Union,Male
2017,Ciutat Vella,el Raval,5,1011,749,Rest of World,Female
2017,Ciutat Vella,el Raval,5,1011,1138,Rest of World,Male
2017,Ciutat Vella,el Raval,5,1012,283,City of Barcelona,Female
2017,Ciutat Vella,el Raval,5,1012,257,City of Barcelona,Male
2017,Ciutat Vella,el Raval,5,1012,39,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,5,1012,44,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,5,1012,104,Rest of Spain,Female
2017,Ciutat Vella,el Raval,5,1012,98,Rest of Spain,Male
2017,Ciutat Vella,el Raval,5,1012,71,Rest of European Union,Female
2017,Ciutat Vella,el Raval,5,1012,76,Rest of European Union,Male
2017,Ciutat Vella,el Raval,5,1012,427,Rest of World,Female
2017,Ciutat Vella,el Raval,5,1012,507,Rest of World,Male
2017,Ciutat Vella,el Raval,5,1012,..,Not available,Female
2017,Ciutat Vella,el Raval,5,1012,..,Not available,Male
2017,Ciutat Vella,el Raval,5,1013,255,City of Barcelona,Female
2017,Ciutat Vella,el Raval,5,1013,227,City of Barcelona,Male
2017,Ciutat Vella,el Raval,5,1013,39,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,5,1013,39,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,5,1013,97,Rest of Spain,Female
2017,Ciutat Vella,el Raval,5,1013,69,Rest of Spain,Male
2017,Ciutat Vella,el Raval,5,1013,44,Rest of European Union,Female
2017,Ciutat Vella,el Raval,5,1013,39,Rest of European Union,Male
2017,Ciutat Vella,el Raval,5,1013,296,Rest of World,Female
2017,Ciutat Vella,el Raval,5,1013,300,Rest of World,Male
2017,Ciutat Vella,el Raval,6,1014,268,City of Barcelona,Female
2017,Ciutat Vella,el Raval,6,1014,291,City of Barcelona,Male
2017,Ciutat Vella,el Raval,6,1014,29,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,6,1014,41,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,6,1014,104,Rest of Spain,Female
2017,Ciutat Vella,el Raval,6,1014,100,Rest of Spain,Male
2017,Ciutat Vella,el Raval,6,1014,57,Rest of European Union,Female
2017,Ciutat Vella,el Raval,6,1014,76,Rest of European Union,Male
2017,Ciutat Vella,el Raval,6,1014,491,Rest of World,Female
2017,Ciutat Vella,el Raval,6,1014,553,Rest of World,Male
2017,Ciutat Vella,el Raval,6,1015,302,City of Barcelona,Female
2017,Ciutat Vella,el Raval,6,1015,324,City of Barcelona,Male
2017,Ciutat Vella,el Raval,6,1015,37,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,6,1015,32,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,6,1015,134,Rest of Spain,Female
2017,Ciutat Vella,el Raval,6,1015,118,Rest of Spain,Male
2017,Ciutat Vella,el Raval,6,1015,85,Rest of European Union,Female
2017,Ciutat Vella,el Raval,6,1015,77,Rest of European Union,Male
2017,Ciutat Vella,el Raval,6,1015,570,Rest of World,Female
2017,Ciutat Vella,el Raval,6,1015,677,Rest of World,Male
2017,Ciutat Vella,el Raval,6,1016,251,City of Barcelona,Female
2017,Ciutat Vella,el Raval,6,1016,256,City of Barcelona,Male
2017,Ciutat Vella,el Raval,6,1016,40,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,6,1016,43,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,6,1016,83,Rest of Spain,Female
2017,Ciutat Vella,el Raval,6,1016,98,Rest of Spain,Male
2017,Ciutat Vella,el Raval,6,1016,57,Rest of European Union,Female
2017,Ciutat Vella,el Raval,6,1016,87,Rest of European Union,Male
2017,Ciutat Vella,el Raval,6,1016,639,Rest of World,Female
2017,Ciutat Vella,el Raval,6,1016,653,Rest of World,Male
2017,Ciutat Vella,el Raval,6,1016,..,Not available,Male
2017,Ciutat Vella,el Raval,6,1017,309,City of Barcelona,Female
2017,Ciutat Vella,el Raval,6,1017,313,City of Barcelona,Male
2017,Ciutat Vella,el Raval,6,1017,46,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,6,1017,31,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,6,1017,103,Rest of Spain,Female
2017,Ciutat Vella,el Raval,6,1017,106,Rest of Spain,Male
2017,Ciutat Vella,el Raval,6,1017,111,Rest of European Union,Female
2017,Ciutat Vella,el Raval,6,1017,92,Rest of European Union,Male
2017,Ciutat Vella,el Raval,6,1017,722,Rest of World,Female
2017,Ciutat Vella,el Raval,6,1017,786,Rest of World,Male
2017,Ciutat Vella,el Raval,7,1018,262,City of Barcelona,Female
2017,Ciutat Vella,el Raval,7,1018,249,City of Barcelona,Male
2017,Ciutat Vella,el Raval,7,1018,29,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,7,1018,28,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,7,1018,83,Rest of Spain,Female
2017,Ciutat Vella,el Raval,7,1018,72,Rest of Spain,Male
2017,Ciutat Vella,el Raval,7,1018,66,Rest of European Union,Female
2017,Ciutat Vella,el Raval,7,1018,46,Rest of European Union,Male
2017,Ciutat Vella,el Raval,7,1018,356,Rest of World,Female
2017,Ciutat Vella,el Raval,7,1018,466,Rest of World,Male
2017,Ciutat Vella,el Raval,7,1019,338,City of Barcelona,Female
2017,Ciutat Vella,el Raval,7,1019,355,City of Barcelona,Male
2017,Ciutat Vella,el Raval,7,1019,57,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,7,1019,57,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,7,1019,170,Rest of Spain,Female
2017,Ciutat Vella,el Raval,7,1019,136,Rest of Spain,Male
2017,Ciutat Vella,el Raval,7,1019,152,Rest of European Union,Female
2017,Ciutat Vella,el Raval,7,1019,137,Rest of European Union,Male
2017,Ciutat Vella,el Raval,7,1019,612,Rest of World,Female
2017,Ciutat Vella,el Raval,7,1019,856,Rest of World,Male
2017,Ciutat Vella,el Raval,7,1020,350,City of Barcelona,Female
2017,Ciutat Vella,el Raval,7,1020,344,City of Barcelona,Male
2017,Ciutat Vella,el Raval,7,1020,102,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,7,1020,60,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,7,1020,192,Rest of Spain,Female
2017,Ciutat Vella,el Raval,7,1020,111,Rest of Spain,Male
2017,Ciutat Vella,el Raval,7,1020,158,Rest of European Union,Female
2017,Ciutat Vella,el Raval,7,1020,187,Rest of European Union,Male
2017,Ciutat Vella,el Raval,7,1020,317,Rest of World,Female
2017,Ciutat Vella,el Raval,7,1020,305,Rest of World,Male
2017,Ciutat Vella,el Raval,7,1020,..,Not available,Female
2017,Ciutat Vella,el Raval,8,1021,302,City of Barcelona,Female
2017,Ciutat Vella,el Raval,8,1021,267,City of Barcelona,Male
2017,Ciutat Vella,el Raval,8,1021,84,Rest of Catalonia,Female
2017,Ciutat Vella,el Raval,8,1021,67,Rest of Catalonia,Male
2017,Ciutat Vella,el Raval,8,1021,176,Rest of Spain,Female
2017,Ciutat Vella,el Raval,8,1021,151,Rest of Spain,Male
2017,Ciutat Vella,el Raval,8,1021,124,Rest of European Union,Female
2017,Ciutat Vella,el Raval,8,1021,168,Rest of European Union,Male
2017,Ciutat Vella,el Raval,8,1021,328,Rest of World,Female
2017,Ciutat Vella,el Raval,8,1021,367,Rest of World,Male
2017,Ciutat Vella,el Barri Gòtic,9,1022,234,City of Barcelona,Female
2017,Ciutat Vella,el Barri Gòtic,9,1022,214,City of Barcelona,Male
2017,Ciutat Vella,el Barri Gòtic,9,1022,54,Rest of Catalonia,Female
2017,Ciutat Vella,el Barri Gòtic,9,1022,53,Rest of Catalonia,Male
2017,Ciutat Vella,el Barri Gòtic,9,1022,104,Rest of Spain,Female
2017,Ciutat Vella,el Barri Gòtic,9,1022,59,Rest of Spain,Male
2017,Ciutat Vella,el Barri Gòtic,9,1022,92,Rest of European Union,Female
2017,Ciutat Vella,el Barri Gòtic,9,1022,120,Rest of European Union,Male
2017,Ciutat Vella,el Barri Gòtic,9,1022,186,Rest of World,Female
2017,Ciutat Vella,el Barri Gòtic,9,1022,143,Rest of World,Male
2017,Ciutat Vella,el Barri Gòtic,9,1022,..,Not available,Female
2017,Ciutat Vella,el Barri Gòtic,9,1022,..,Not available,Male
2017,Ciutat Vella,el Barri Gòtic,9,1023,346,City of Barcelona,Female
