Year_Reference,District,Neighborhood,AEB,Census_Section,Value,Birth_Place,Sex
1999,Ciutat Vella,el Raval,1,1001,258,City of Barcelona,Female
1999,Ciutat Vella,el Raval,1,1001,263,City of Barcelona,Male
1999,Ciutat Vella,el Raval,1,1001,37,Rest of Catalonia,Female
1999,Ciutat Vella,el Raval,1,1001,31,Rest of Catalonia,Male
1999,Ciutat Vella,el Raval,1,1001,220,Rest of Spain,Female
1999,Ciutat Vella,el Raval,1,1001,227,Rest of Spain,Male
1999,Ciutat Vella,el Raval,1,1001,8,Rest of European Union,Female
1999,Ciutat Vella,el Raval,1,1001,6,Rest of European Union,Male
1999,Ciutat Vella,el Raval,1,1001,65,Rest of World,Female
1999,Ciutat Vella,el Raval,1,1001,56,Rest of World,Male
1999,Ciutat Vella,el Raval,1,1001,..,Not available,Female
1999,Ciutat Vella,el Raval,1,1002,282,City of Barcelona,Female
1999,Ciutat Vella,el Raval,1,1002,241,City of Barcelona,Male
1999,Ciutat Vella,el Raval,1,1002,45,Rest of Catalonia,Female
1999,Ciutat Vella,el Raval,1,1002,25,Rest of Catalonia,Male
1999,Ciutat Vella,el Raval,1,1002,227,Rest of Spain,Female
1999,Ciutat Vella,el Raval,1,1002,186,Rest of Spain,Male
1999,Ciutat Vella,el Raval,1,1002,..,Rest of European Union,Female
1999,Ciutat Vella,el Raval,1,1002,10,Rest of European Union,Male
1999,Ciutat Vella,el Raval,1,1002,98,Rest of World,Female
1999,Ciutat Vella,el Raval,1,1002,130,Rest of World,Male
1999,Ciutat Vella,el Raval,2,1003,545,City of Barcelona,Female
1999,Ciutat Vella,el Raval,2,1003,543,City of Barcelona,Male
1999,Ciutat Vella,el Raval,2,1003,56,Rest of Catalonia,Female
1999,Ciutat Vella,el Raval,2,1003,43,Rest of Catalonia,Male
1999,Ciutat Vella,el Raval,2,1003,381,Rest of Spain,Female
1999,Ciutat Vella,el Raval,2,1003,329,Rest of Spain,Male
1999,Ciutat Vella,el Raval,2,1003,17,Rest of European Union,Female
1999,Ciutat Vella,el Raval,2,1003,20,Rest of European Union,Male
1999,Ciutat Vella,el Raval,2,1003,126,Rest of World,Female
1999,Ciutat Vella,el Raval,2,1003,142,Rest of World,Male
1999,Ciutat Vella,el Raval,2,1004,529,City of Barcelona,Female
1999,Ciutat Vella,el Raval,2,1004,500,City of Barcelona,Male
1999,Ciutat Vella,el Raval,2,1004,73,Rest of Catalonia,Female
1999,Ciutat Vella,el Raval,2,1004,59,Rest of Catalonia,Male
1999,Ciutat Vella,el Raval,2,1004,315,Rest of Spain,Female
1999,Ciutat Vella,el Raval,2,1004,282,Rest of Spain,Male
1999,Ciutat Vella,el Raval,2,1004,14,Rest of European Union,Female
1999,Ciutat Vella,el Raval,2,1004,14,Rest of European Union,Male
1999,Ciutat Vella,el Raval,2,1004,179,Rest of World,Female
1999,Ciutat Vella,el Raval,2,1004,202,Rest of World,Male
1999,Ciutat Vella,el Raval,3,1005,475,City of Barcelona,Female
1999,Ciutat Vella,el Raval,3,1005,435,City of Barcelona,Male
1999,Ciutat Vella,el Raval,3,1005,64,Rest of Catalonia,Female
1999,Ciutat Vella,el Raval,3,1005,72,Rest of Catalonia,Male
1999,Ciutat Vella,el Raval,3,1005,371,Rest of Spain,Female
1999,Ciutat Vella,el Raval,3,1005,383,Rest of Spain,Male
1999,Ciutat Vella,el Raval,3,1005,16,Rest of European Union,Female
1999,Ciutat Vella,el Raval,3,1005,17,Rest of European Union,Male
1999,Ciutat Vella,el Raval,3,1005,84,Rest of World,Female
1999,Ciutat Vella,el Raval,3,1005,119,Rest of World,Male
1999,Ciutat Vella,el Raval,3,1006,314,City of Barcelona,Female
1999,Ciutat Vella,el Raval,3,1006,304,City of Barcelona,Male
1999,Ciutat Vella,el Raval,3,1006,63,Rest of Catalonia,Female
1999,Ciutat Vella,el Raval,3,1006,48,Rest of Catalonia,Male
1999,Ciutat Vella,el Raval,3,1006,255,Rest of Spain,Female
1999,Ciutat Vella,el Raval,3,1006,218,Rest of Spain,Male
1999,Ciutat Vella,el Raval,3,1006,12,Rest of European Union,Female
1999,Ciutat Vella,el Raval,3,1006,11,Rest of European Union,Male
1999,Ciutat Vella,el Raval,3,1006,143,Rest of World,Female
1999,Ciutat Vella,el Raval,3,1006,130,Rest of World,Male
1999,Ciutat Vella,el Raval,3,1007,496,City of Barcelona,Female
1999,Ciutat Vella,el Raval,3,1007,526,City of Barcelona,Male
1999,Ciutat Vella,el Raval,3,1007,63,Rest of Catalonia,Female
1999,Ciutat Vella,el Raval,3,1007,58,Rest of Catalonia,Male
1999,Ciutat Vella,el Raval,3,1007,338,Rest of Spain,Female
1999,Ciutat Vella,el Raval,3,1007,346,Rest of Spain,Male
1999,Ciutat Vella,el Raval,3,1007,18,Rest of European Union,Female
1999,Ciutat Vella,el Raval,3,1007,14,Rest of European Union,Male
1999,Ciutat Vella,el Raval,3,1007,100,Rest of World,Female
1999,Ciutat Vella,el Raval,3,1007,144,Rest of World,Male
1999,Ciutat Vella,el Raval,4,1008,489,City of Barcelona,Female
1999,Ciutat Vella,el Raval,4,1008,516,City of Barcelona,Male
