Year_Reference,District,Neighborhood,AEB,Census_Section,Value,Birth_Place,Sex
2004,Ciutat Vella,el Raval,1,1001,196,City of Barcelona,Female
2004,Ciutat Vella,el Raval,1,1001,223,City of Barcelona,Male
2004,Ciutat Vella,el Raval,1,1001,36,Rest of Catalonia,Female
2004,Ciutat Vella,el Raval,1,1001,29,Rest of Catalonia,Male
2004,Ciutat Vella,el Raval,1,1001,163,Rest of Spain,Female
2004,Ciutat Vella,el Raval,1,1001,207,Rest of Spain,Male
2004,Ciutat Vella,el Raval,1,1001,20,Rest of European Union,Female
2004,Ciutat Vella,el Raval,1,1001,22,Rest of European Union,Male
2004,Ciutat Vella,el Raval,1,1001,140,Rest of World,Female
2004,Ciutat Vella,el Raval,1,1001,242,Rest of World,Male
2004,Ciutat Vella,el Raval,1,1001,..,Not available,Female
2004,Ciutat Vella,el Raval,1,1002,249,City of Barcelona,Female
2004,Ciutat Vella,el Raval,1,1002,220,City of Barcelona,Male
2004,Ciutat Vella,el Raval,1,1002,40,Rest of Catalonia,Female
2004,Ciutat Vella,el Raval,1,1002,25,Rest of Catalonia,Male
2004,Ciutat Vella,el Raval,1,1002,178,Rest of Spain,Female
2004,Ciutat Vella,el Raval,1,1002,140,Rest of Spain,Male
2004,Ciutat Vella,el Raval,1,1002,19,Rest of European Union,Female
2004,Ciutat Vella,el Raval,1,1002,29,Rest of European Union,Male
2004,Ciutat Vella,el Raval,1,1002,251,Rest of World,Female
2004,Ciutat Vella,el Raval,1,1002,458,Rest of World,Male
2004,Ciutat Vella,el Raval,2,1003,547,City of Barcelona,Female
2004,Ciutat Vella,el Raval,2,1003,515,City of Barcelona,Male
2004,Ciutat Vella,el Raval,2,1003,54,Rest of Catalonia,Female
2004,Ciutat Vella,el Raval,2,1003,56,Rest of Catalonia,Male
2004,Ciutat Vella,el Raval,2,1003,320,Rest of Spain,Female
2004,Ciutat Vella,el Raval,2,1003,287,Rest of Spain,Male
2004,Ciutat Vella,el Raval,2,1003,27,Rest of European Union,Female
2004,Ciutat Vella,el Raval,2,1003,31,Rest of European Union,Male
2004,Ciutat Vella,el Raval,2,1003,477,Rest of World,Female
2004,Ciutat Vella,el Raval,2,1003,780,Rest of World,Male
2004,Ciutat Vella,el Raval,2,1003,..,Not available,Female
2004,Ciutat Vella,el Raval,2,1003,..,Not available,Male
2004,Ciutat Vella,el Raval,2,1004,518,City of Barcelona,Female
2004,Ciutat Vella,el Raval,2,1004,497,City of Barcelona,Male
2004,Ciutat Vella,el Raval,2,1004,71,Rest of Catalonia,Female
2004,Ciutat Vella,el Raval,2,1004,74,Rest of Catalonia,Male
2004,Ciutat Vella,el Raval,2,1004,291,Rest of Spain,Female
2004,Ciutat Vella,el Raval,2,1004,301,Rest of Spain,Male
2004,Ciutat Vella,el Raval,2,1004,42,Rest of European Union,Female
2004,Ciutat Vella,el Raval,2,1004,44,Rest of European Union,Male
2004,Ciutat Vella,el Raval,2,1004,399,Rest of World,Female
2004,Ciutat Vella,el Raval,2,1004,636,Rest of World,Male
2004,Ciutat Vella,el Raval,2,1004,..,Not available,Female
2004,Ciutat Vella,el Raval,3,1005,401,City of Barcelona,Female
2004,Ciutat Vella,el Raval,3,1005,386,City of Barcelona,Male
