Year_Reference,District,Neighborhood,AEB,Census_Section,Value,Birth_Place,Sex
2000,Ciutat Vella,el Raval,1,1001,243,City of Barcelona,Female
2000,Ciutat Vella,el Raval,1,1001,260,City of Barcelona,Male
2000,Ciutat Vella,el Raval,1,1001,34,Rest of Catalonia,Female
2000,Ciutat Vella,el Raval,1,1001,24,Rest of Catalonia,Male
2000,Ciutat Vella,el Raval,1,1001,209,Rest of Spain,Female
2000,Ciutat Vella,el Raval,1,1001,229,Rest of Spain,Male
2000,Ciutat Vella,el Raval,1,1001,7,Rest of European Union,Female
2000,Ciutat Vella,el Raval,1,1001,9,Rest of European Union,Male
2000,Ciutat Vella,el Raval,1,1001,72,Rest of World,Female
2000,Ciutat Vella,el Raval,1,1001,62,Rest of World,Male
2000,Ciutat Vella,el Raval,1,1001,..,Not available,Female
2000,Ciutat Vella,el Raval,1,1002,259,City of Barcelona,Female
2000,Ciutat Vella,el Raval,1,1002,230,City of Barcelona,Male
2000,Ciutat Vella,el Raval,1,1002,43,Rest of Catalonia,Female
2000,Ciutat Vella,el Raval,1,1002,24,Rest of Catalonia,Male
2000,Ciutat Vella,el Raval,1,1002,218,Rest of Spain,Female
2000,Ciutat Vella,el Raval,1,1002,177,Rest of Spain,Male
2000,Ciutat Vella,el Raval,1,1002,6,Rest of European Union,Female
2000,Ciutat Vella,el Raval,1,1002,8,Rest of European Union,Male
2000,Ciutat Vella,el Raval,1,1002,87,Rest of World,Female
2000,Ciutat Vella,el Raval,1,1002,118,Rest of World,Male
2000,Ciutat Vella,el Raval,2,1003,555,City of Barcelona,Female
2000,Ciutat Vella,el Raval,2,1003,558,City of Barcelona,Male
2000,Ciutat Vella,el Raval,2,1003,54,Rest of Catalonia,Female
2000,Ciutat Vella,el Raval,2,1003,45,Rest of Catalonia,Male
2000,Ciutat Vella,el Raval,2,1003,380,Rest of Spain,Female
2000,Ciutat Vella,el Raval,2,1003,334,Rest of Spain,Male
2000,Ciutat Vella,el Raval,2,1003,16,Rest of European Union,Female
2000,Ciutat Vella,el Raval,2,1003,19,Rest of European Union,Male
2000,Ciutat Vella,el Raval,2,1003,157,Rest of World,Female
2000,Ciutat Vella,el Raval,2,1003,177,Rest of World,Male
2000,Ciutat Vella,el Raval,2,1004,517,City of Barcelona,Female
2000,Ciutat Vella,el Raval,2,1004,476,City of Barcelona,Male
2000,Ciutat Vella,el Raval,2,1004,69,Rest of Catalonia,Female
2000,Ciutat Vella,el Raval,2,1004,63,Rest of Catalonia,Male
2000,Ciutat Vella,el Raval,2,1004,291,Rest of Spain,Female
2000,Ciutat Vella,el Raval,2,1004,277,Rest of Spain,Male
2000,Ciutat Vella,el Raval,2,1004,16,Rest of European Union,Female
2000,Ciutat Vella,el Raval,2,1004,19,Rest of European Union,Male
2000,Ciutat Vella,el Raval,2,1004,194,Rest of World,Female
2000,Ciutat Vella,el Raval,2,1004,233,Rest of World,Male
2000,Ciutat Vella,el Raval,3,1005,462,City of Barcelona,Female
2000,Ciutat Vella,el Raval,3,1005,429,City of Barcelona,Male
2000,Ciutat Vella,el Raval,3,1005,64,Rest of Catalonia,Female
2000,Ciutat Vella,el Raval,3,1005,65,Rest of Catalonia,Male
2000,Ciutat Vella,el Raval,3,1005,360,Rest of Spain,Female
2000,Ciutat Vella,el Raval,3,1005,366,Rest of Spain,Male
2000,Ciutat Vella,el Raval,3,1005,21,Rest of European Union,Female
2000,Ciutat Vella,el Raval,3,1005,23,Rest of European Union,Male
2000,Ciutat Vella,el Raval,3,1005,112,Rest of World,Female
2000,Ciutat Vella,el Raval,3,1005,147,Rest of World,Male
2000,Ciutat Vella,el Raval,3,1006,305,City of Barcelona,Female
2000,Ciutat Vella,el Raval,3,1006,292,City of Barcelona,Male
2000,Ciutat Vella,el Raval,3,1006,56,Rest of Catalonia,Female
2000,Ciutat Vella,el Raval,3,1006,47,Rest of Catalonia,Male
2000,Ciutat Vella,el Raval,3,1006,241,Rest of Spain,Female
2000,Ciutat Vella,el Raval,3,1006,207,Rest of Spain,Male
2000,Ciutat Vella,el Raval,3,1006,14,Rest of European Union,Female
2000,Ciutat Vella,el Raval,3,1006,11,Rest of European Union,Male
2000,Ciutat Vella,el Raval,3,1006,136,Rest of World,Female
2000,Ciutat Vella,el Raval,3,1006,140,Rest of World,Male
2000,Ciutat Vella,el Raval,3,1006,..,Not available,Female
2000,Ciutat Vella,el Raval,3,1007,385,City of Barcelona,Female
2000,Ciutat Vella,el Raval,3,1007,415,City of Barcelona,Male
2000,Ciutat Vella,el Raval,3,1007,49,Rest of Catalonia,Female
2000,Ciutat Vella,el Raval,3,1007,48,Rest of Catalonia,Male
2000,Ciutat Vella,el Raval,3,1007,271,Rest of Spain,Female
2000,Ciutat Vella,el Raval,3,1007,295,Rest of Spain,Male
2000,Ciutat Vella,el Raval,3,1007,16,Rest of European Union,Female
2000,Ciutat Vella,el Raval,3,1007,15,Rest of European Union,Male
2000,Ciutat Vella,el Raval,3,1007,104,Rest of World,Female
2000,Ciutat Vella,el Raval,3,1007,169,Rest of World,Male
2000,Ciutat Vella,el Raval,4,1008,477,City of Barcelona,Female
2000,Ciutat Vella,el Raval,4,1008,515,City of Barcelona,Male
2000,Ciutat Vella,el Raval,4,1008,56,Rest of Catalonia,Female
2000,Ciutat Vella,el Raval,4,1008,44,Rest of Catalonia,Male
2000,Ciutat Vella,el Raval,4,1008,257,Rest of Spain,Female
2000,Ciutat Vella,el Raval,4,1008,248,Rest of Spain,Male
2000,Ciutat Vella,el Raval,4,1008,5,Rest of European Union,Female
2000,Ciutat Vella,el Raval,4,1008,5,Rest of European Union,Male
