Year_Reference,District,Neighborhood,AEB,Census_Section,Value,Birth_Place,Sex
2021,Ciutat Vella,el Raval,1,1001,174,City of Barcelona,Female
2021,Ciutat Vella,el Raval,1,1001,171,City of Barcelona,Male
2021,Ciutat Vella,el Raval,1,1001,33,Rest of Catalonia,Female
2021,Ciutat Vella,el Raval,1,1001,34,Rest of Catalonia,Male
2021,Ciutat Vella,el Raval,1,1001,91,Rest of Spain,Female
2021,Ciutat Vella,el Raval,1,1001,109,Rest of Spain,Male
2021,Ciutat Vella,el Raval,1,1001,50,Rest of European Union,Female
2021,Ciutat Vella,el Raval,1,1001,59,Rest of European Union,Male
2021,Ciutat Vella,el Raval,1,1001,258,Rest of World,Female
2021,Ciutat Vella,el Raval,1,1001,332,Rest of World,Male
2021,Ciutat Vella,el Raval,1,1002,148,City of Barcelona,Female
2021,Ciutat Vella,el Raval,1,1002,159,City of Barcelona,Male
2021,Ciutat Vella,el Raval,1,1002,37,Rest of Catalonia,Female
2021,Ciutat Vella,el Raval,1,1002,22,Rest of Catalonia,Male
2021,Ciutat Vella,el Raval,1,1002,70,Rest of Spain,Female
2021,Ciutat Vella,el Raval,1,1002,47,Rest of Spain,Male
2021,Ciutat Vella,el Raval,1,1002,60,Rest of European Union,Female
2021,Ciutat Vella,el Raval,1,1002,76,Rest of European Union,Male
2021,Ciutat Vella,el Raval,1,1002,389,Rest of World,Female
2021,Ciutat Vella,el Raval,1,1002,481,Rest of World,Male
2021,Ciutat Vella,el Raval,2,1003,492,City of Barcelona,Female
2021,Ciutat Vella,el Raval,2,1003,490,City of Barcelona,Male
2021,Ciutat Vella,el Raval,2,1003,151,Rest of Catalonia,Female
2021,Ciutat Vella,el Raval,2,1003,166,Rest of Catalonia,Male
2021,Ciutat Vella,el Raval,2,1003,172,Rest of Spain,Female
2021,Ciutat Vella,el Raval,2,1003,176,Rest of Spain,Male
2021,Ciutat Vella,el Raval,2,1003,92,Rest of European Union,Female
2021,Ciutat Vella,el Raval,2,1003,112,Rest of European Union,Male
2021,Ciutat Vella,el Raval,2,1003,728,Rest of World,Female
2021,Ciutat Vella,el Raval,2,1003,1081,Rest of World,Male
2021,Ciutat Vella,el Raval,2,1003,..,Not available,Female
