Year_Reference,District,Neighborhood,AEB,Census_Section,Value,Birth_Place,Sex
2011,Ciutat Vella,el Raval,1,1001,183,City of Barcelona,Female
2011,Ciutat Vella,el Raval,1,1001,204,City of Barcelona,Male
2011,Ciutat Vella,el Raval,1,1001,30,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,1,1001,30,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,1,1001,125,Rest of Spain,Female
2011,Ciutat Vella,el Raval,1,1001,142,Rest of Spain,Male
2011,Ciutat Vella,el Raval,1,1001,41,Rest of European Union,Female
2011,Ciutat Vella,el Raval,1,1001,60,Rest of European Union,Male
2011,Ciutat Vella,el Raval,1,1001,210,Rest of World,Female
2011,Ciutat Vella,el Raval,1,1001,351,Rest of World,Male
2011,Ciutat Vella,el Raval,1,1002,207,City of Barcelona,Female
2011,Ciutat Vella,el Raval,1,1002,198,City of Barcelona,Male
2011,Ciutat Vella,el Raval,1,1002,35,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,1,1002,16,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,1,1002,124,Rest of Spain,Female
2011,Ciutat Vella,el Raval,1,1002,126,Rest of Spain,Male
2011,Ciutat Vella,el Raval,1,1002,53,Rest of European Union,Female
2011,Ciutat Vella,el Raval,1,1002,55,Rest of European Union,Male
2011,Ciutat Vella,el Raval,1,1002,287,Rest of World,Female
2011,Ciutat Vella,el Raval,1,1002,437,Rest of World,Male
2011,Ciutat Vella,el Raval,2,1003,502,City of Barcelona,Female
2011,Ciutat Vella,el Raval,2,1003,484,City of Barcelona,Male
2011,Ciutat Vella,el Raval,2,1003,77,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,2,1003,63,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,2,1003,254,Rest of Spain,Female
2011,Ciutat Vella,el Raval,2,1003,227,Rest of Spain,Male
2011,Ciutat Vella,el Raval,2,1003,73,Rest of European Union,Female
2011,Ciutat Vella,el Raval,2,1003,79,Rest of European Union,Male
2011,Ciutat Vella,el Raval,2,1003,575,Rest of World,Female
2011,Ciutat Vella,el Raval,2,1003,901,Rest of World,Male
2011,Ciutat Vella,el Raval,2,1003,..,Not available,Female
2011,Ciutat Vella,el Raval,2,1004,466,City of Barcelona,Female
2011,Ciutat Vella,el Raval,2,1004,446,City of Barcelona,Male
2011,Ciutat Vella,el Raval,2,1004,63,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,2,1004,70,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,2,1004,224,Rest of Spain,Female
2011,Ciutat Vella,el Raval,2,1004,262,Rest of Spain,Male
2011,Ciutat Vella,el Raval,2,1004,66,Rest of European Union,Female
2011,Ciutat Vella,el Raval,2,1004,81,Rest of European Union,Male
2011,Ciutat Vella,el Raval,2,1004,454,Rest of World,Female
2011,Ciutat Vella,el Raval,2,1004,703,Rest of World,Male
2011,Ciutat Vella,el Raval,2,1004,..,Not available,Female
2011,Ciutat Vella,el Raval,3,1005,398,City of Barcelona,Female
2011,Ciutat Vella,el Raval,3,1005,361,City of Barcelona,Male
2011,Ciutat Vella,el Raval,3,1005,45,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,3,1005,57,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,3,1005,210,Rest of Spain,Female
2011,Ciutat Vella,el Raval,3,1005,206,Rest of Spain,Male
2011,Ciutat Vella,el Raval,3,1005,117,Rest of European Union,Female
2011,Ciutat Vella,el Raval,3,1005,76,Rest of European Union,Male
2011,Ciutat Vella,el Raval,3,1005,315,Rest of World,Female
2011,Ciutat Vella,el Raval,3,1005,695,Rest of World,Male
2011,Ciutat Vella,el Raval,3,1005,..,Not available,Female
2011,Ciutat Vella,el Raval,3,1006,192,City of Barcelona,Female
2011,Ciutat Vella,el Raval,3,1006,213,City of Barcelona,Male
2011,Ciutat Vella,el Raval,3,1006,46,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,3,1006,45,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,3,1006,143,Rest of Spain,Female
2011,Ciutat Vella,el Raval,3,1006,134,Rest of Spain,Male
2011,Ciutat Vella,el Raval,3,1006,99,Rest of European Union,Female
2011,Ciutat Vella,el Raval,3,1006,96,Rest of European Union,Male
2011,Ciutat Vella,el Raval,3,1006,335,Rest of World,Female
2011,Ciutat Vella,el Raval,3,1006,572,Rest of World,Male
2011,Ciutat Vella,el Raval,3,1007,259,City of Barcelona,Female
2011,Ciutat Vella,el Raval,3,1007,286,City of Barcelona,Male
2011,Ciutat Vella,el Raval,3,1007,36,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,3,1007,48,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,3,1007,117,Rest of Spain,Female
2011,Ciutat Vella,el Raval,3,1007,138,Rest of Spain,Male
2011,Ciutat Vella,el Raval,3,1007,72,Rest of European Union,Female
2011,Ciutat Vella,el Raval,3,1007,89,Rest of European Union,Male
2011,Ciutat Vella,el Raval,3,1007,280,Rest of World,Female
2011,Ciutat Vella,el Raval,3,1007,740,Rest of World,Male
2011,Ciutat Vella,el Raval,4,1008,328,City of Barcelona,Female
2011,Ciutat Vella,el Raval,4,1008,377,City of Barcelona,Male
2011,Ciutat Vella,el Raval,4,1008,48,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,4,1008,55,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,4,1008,138,Rest of Spain,Female
2011,Ciutat Vella,el Raval,4,1008,180,Rest of Spain,Male
2011,Ciutat Vella,el Raval,4,1008,72,Rest of European Union,Female
2011,Ciutat Vella,el Raval,4,1008,79,Rest of European Union,Male
2011,Ciutat Vella,el Raval,4,1008,698,Rest of World,Female
2011,Ciutat Vella,el Raval,4,1008,1295,Rest of World,Male
2011,Ciutat Vella,el Raval,4,1009,320,City of Barcelona,Female
2011,Ciutat Vella,el Raval,4,1009,322,City of Barcelona,Male
2011,Ciutat Vella,el Raval,4,1009,56,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,4,1009,49,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,4,1009,153,Rest of Spain,Female
2011,Ciutat Vella,el Raval,4,1009,152,Rest of Spain,Male
2011,Ciutat Vella,el Raval,4,1009,63,Rest of European Union,Female
2011,Ciutat Vella,el Raval,4,1009,49,Rest of European Union,Male
2011,Ciutat Vella,el Raval,4,1009,388,Rest of World,Female
2011,Ciutat Vella,el Raval,4,1009,568,Rest of World,Male
2011,Ciutat Vella,el Raval,4,1010,315,City of Barcelona,Female
2011,Ciutat Vella,el Raval,4,1010,338,City of Barcelona,Male
2011,Ciutat Vella,el Raval,4,1010,37,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,4,1010,35,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,4,1010,125,Rest of Spain,Female
2011,Ciutat Vella,el Raval,4,1010,88,Rest of Spain,Male
2011,Ciutat Vella,el Raval,4,1010,51,Rest of European Union,Female
2011,Ciutat Vella,el Raval,4,1010,62,Rest of European Union,Male
2011,Ciutat Vella,el Raval,4,1010,475,Rest of World,Female
2011,Ciutat Vella,el Raval,4,1010,870,Rest of World,Male
2011,Ciutat Vella,el Raval,5,1011,411,City of Barcelona,Female
2011,Ciutat Vella,el Raval,5,1011,424,City of Barcelona,Male
2011,Ciutat Vella,el Raval,5,1011,83,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,5,1011,68,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,5,1011,180,Rest of Spain,Female
2011,Ciutat Vella,el Raval,5,1011,163,Rest of Spain,Male
2011,Ciutat Vella,el Raval,5,1011,113,Rest of European Union,Female
2011,Ciutat Vella,el Raval,5,1011,95,Rest of European Union,Male
2011,Ciutat Vella,el Raval,5,1011,766,Rest of World,Female
2011,Ciutat Vella,el Raval,5,1011,1296,Rest of World,Male
2011,Ciutat Vella,el Raval,5,1012,306,City of Barcelona,Female
2011,Ciutat Vella,el Raval,5,1012,298,City of Barcelona,Male
2011,Ciutat Vella,el Raval,5,1012,43,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,5,1012,52,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,5,1012,132,Rest of Spain,Female
2011,Ciutat Vella,el Raval,5,1012,114,Rest of Spain,Male
2011,Ciutat Vella,el Raval,5,1012,67,Rest of European Union,Female
2011,Ciutat Vella,el Raval,5,1012,47,Rest of European Union,Male
2011,Ciutat Vella,el Raval,5,1012,364,Rest of World,Female
2011,Ciutat Vella,el Raval,5,1012,498,Rest of World,Male
2011,Ciutat Vella,el Raval,5,1013,278,City of Barcelona,Female
2011,Ciutat Vella,el Raval,5,1013,237,City of Barcelona,Male
2011,Ciutat Vella,el Raval,5,1013,46,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,5,1013,37,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,5,1013,112,Rest of Spain,Female
2011,Ciutat Vella,el Raval,5,1013,79,Rest of Spain,Male
2011,Ciutat Vella,el Raval,5,1013,40,Rest of European Union,Female
2011,Ciutat Vella,el Raval,5,1013,30,Rest of European Union,Male
2011,Ciutat Vella,el Raval,5,1013,176,Rest of World,Female
2011,Ciutat Vella,el Raval,5,1013,237,Rest of World,Male
2011,Ciutat Vella,el Raval,6,1014,279,City of Barcelona,Female
2011,Ciutat Vella,el Raval,6,1014,304,City of Barcelona,Male
2011,Ciutat Vella,el Raval,6,1014,36,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,6,1014,47,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,6,1014,141,Rest of Spain,Female
2011,Ciutat Vella,el Raval,6,1014,112,Rest of Spain,Male
2011,Ciutat Vella,el Raval,6,1014,42,Rest of European Union,Female
2011,Ciutat Vella,el Raval,6,1014,47,Rest of European Union,Male
2011,Ciutat Vella,el Raval,6,1014,437,Rest of World,Female
2011,Ciutat Vella,el Raval,6,1014,506,Rest of World,Male
2011,Ciutat Vella,el Raval,6,1015,362,City of Barcelona,Female
2011,Ciutat Vella,el Raval,6,1015,340,City of Barcelona,Male
2011,Ciutat Vella,el Raval,6,1015,53,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,6,1015,37,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,6,1015,155,Rest of Spain,Female
2011,Ciutat Vella,el Raval,6,1015,126,Rest of Spain,Male
2011,Ciutat Vella,el Raval,6,1015,64,Rest of European Union,Female
2011,Ciutat Vella,el Raval,6,1015,56,Rest of European Union,Male
2011,Ciutat Vella,el Raval,6,1015,521,Rest of World,Female
2011,Ciutat Vella,el Raval,6,1015,584,Rest of World,Male
2011,Ciutat Vella,el Raval,6,1016,283,City of Barcelona,Female
2011,Ciutat Vella,el Raval,6,1016,267,City of Barcelona,Male
2011,Ciutat Vella,el Raval,6,1016,46,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,6,1016,44,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,6,1016,121,Rest of Spain,Female
2011,Ciutat Vella,el Raval,6,1016,101,Rest of Spain,Male
2011,Ciutat Vella,el Raval,6,1016,58,Rest of European Union,Female
2011,Ciutat Vella,el Raval,6,1016,73,Rest of European Union,Male
2011,Ciutat Vella,el Raval,6,1016,630,Rest of World,Female
2011,Ciutat Vella,el Raval,6,1016,723,Rest of World,Male
2011,Ciutat Vella,el Raval,6,1016,..,Not available,Male
2011,Ciutat Vella,el Raval,6,1017,312,City of Barcelona,Female
2011,Ciutat Vella,el Raval,6,1017,307,City of Barcelona,Male
2011,Ciutat Vella,el Raval,6,1017,47,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,6,1017,38,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,6,1017,135,Rest of Spain,Female
2011,Ciutat Vella,el Raval,6,1017,140,Rest of Spain,Male
2011,Ciutat Vella,el Raval,6,1017,124,Rest of European Union,Female
2011,Ciutat Vella,el Raval,6,1017,90,Rest of European Union,Male
2011,Ciutat Vella,el Raval,6,1017,648,Rest of World,Female
2011,Ciutat Vella,el Raval,6,1017,834,Rest of World,Male
2011,Ciutat Vella,el Raval,7,1018,242,City of Barcelona,Female
2011,Ciutat Vella,el Raval,7,1018,218,City of Barcelona,Male
2011,Ciutat Vella,el Raval,7,1018,36,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,7,1018,21,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,7,1018,109,Rest of Spain,Female
2011,Ciutat Vella,el Raval,7,1018,96,Rest of Spain,Male
2011,Ciutat Vella,el Raval,7,1018,62,Rest of European Union,Female
2011,Ciutat Vella,el Raval,7,1018,64,Rest of European Union,Male
2011,Ciutat Vella,el Raval,7,1018,276,Rest of World,Female
2011,Ciutat Vella,el Raval,7,1018,360,Rest of World,Male
2011,Ciutat Vella,el Raval,7,1018,..,Not available,Female
2011,Ciutat Vella,el Raval,7,1019,366,City of Barcelona,Female
2011,Ciutat Vella,el Raval,7,1019,362,City of Barcelona,Male
2011,Ciutat Vella,el Raval,7,1019,63,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,7,1019,64,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,7,1019,212,Rest of Spain,Female
2011,Ciutat Vella,el Raval,7,1019,172,Rest of Spain,Male
2011,Ciutat Vella,el Raval,7,1019,115,Rest of European Union,Female
2011,Ciutat Vella,el Raval,7,1019,107,Rest of European Union,Male
2011,Ciutat Vella,el Raval,7,1019,539,Rest of World,Female
2011,Ciutat Vella,el Raval,7,1019,831,Rest of World,Male
2011,Ciutat Vella,el Raval,7,1019,..,Not available,Male
2011,Ciutat Vella,el Raval,7,1020,423,City of Barcelona,Female
2011,Ciutat Vella,el Raval,7,1020,375,City of Barcelona,Male
2011,Ciutat Vella,el Raval,7,1020,107,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,7,1020,71,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,7,1020,231,Rest of Spain,Female
2011,Ciutat Vella,el Raval,7,1020,148,Rest of Spain,Male
2011,Ciutat Vella,el Raval,7,1020,132,Rest of European Union,Female
2011,Ciutat Vella,el Raval,7,1020,111,Rest of European Union,Male
2011,Ciutat Vella,el Raval,7,1020,253,Rest of World,Female
2011,Ciutat Vella,el Raval,7,1020,264,Rest of World,Male
2011,Ciutat Vella,el Raval,8,1021,363,City of Barcelona,Female
2011,Ciutat Vella,el Raval,8,1021,323,City of Barcelona,Male
2011,Ciutat Vella,el Raval,8,1021,98,Rest of Catalonia,Female
2011,Ciutat Vella,el Raval,8,1021,83,Rest of Catalonia,Male
2011,Ciutat Vella,el Raval,8,1021,204,Rest of Spain,Female
2011,Ciutat Vella,el Raval,8,1021,155,Rest of Spain,Male
2011,Ciutat Vella,el Raval,8,1021,102,Rest of European Union,Female
2011,Ciutat Vella,el Raval,8,1021,122,Rest of European Union,Male
2011,Ciutat Vella,el Raval,8,1021,279,Rest of World,Female
2011,Ciutat Vella,el Raval,8,1021,308,Rest of World,Male
2011,Ciutat Vella,el Barri Gòtic,9,1022,286,City of Barcelona,Female
2011,Ciutat Vella,el Barri Gòtic,9,1022,244,City of Barcelona,Male
2011,Ciutat Vella,el Barri Gòtic,9,1022,73,Rest of Catalonia,Female
2011,Ciutat Vella,el Barri Gòtic,9,1022,55,Rest of Catalonia,Male
2011,Ciutat Vella,el Barri Gòtic,9,1022,112,Rest of Spain,Female
2011,Ciutat Vella,el Barri Gòtic,9,1022,81,Rest of Spain,Male
2011,Ciutat Vella,el Barri Gòtic,9,1022,74,Rest of European Union,Female
2011,Ciutat Vella,el Barri Gòtic,9,1022,70,Rest of European Union,Male
2011,Ciutat Vella,el Barri Gòtic,9,1022,111,Rest of World,Female
2011,Ciutat Vella,el Barri Gòtic,9,1022,122,Rest of World,Male
2011,Ciutat Vella,el Barri Gòtic,9,1022,..,Not available,Male
2011,Ciutat Vella,el Barri Gòtic,9,1023,441,City of Barcelona,Female
2011,Ciutat Vella,el Barri Gòtic,9,1023,518,City of Barcelona,Male
2011,Ciutat Vella,el Barri Gòtic,9,1023,106,Rest of Catalonia,Female
2011,Ciutat Vella,el Barri Gòtic,9,1023,117,Rest of Catalonia,Male
2011,Ciutat Vella,el Barri Gòtic,9,1023,245,Rest of Spain,Female
2011,Ciutat Vella,el Barri Gòtic,9,1023,321,Rest of Spain,Male
2011,Ciutat Vella,el Barri Gòtic,9,1023,152,Rest of European Union,Female
2011,Ciutat Vella,el Barri Gòtic,9,1023,160,Rest of European Union,Male
2011,Ciutat Vella,el Barri Gòtic,9,1023,374,Rest of World,Female
2011,Ciutat Vella,el Barri Gòtic,9,1023,509,Rest of World,Male
2011,Ciutat Vella,el Barri Gòtic,10,1025,253,City of Barcelona,Female
2011,Ciutat Vella,el Barri Gòtic,10,1025,246,City of Barcelona,Male
2011,Ciutat Vella,el Barri Gòtic,10,1025,62,Rest of Catalonia,Female
2011,Ciutat Vella,el Barri Gòtic,10,1025,48,Rest of Catalonia,Male
2011,Ciutat Vella,el Barri Gòtic,10,1025,105,Rest of Spain,Female
2011,Ciutat Vella,el Barri Gòtic,10,1025,86,Rest of Spain,Male
2011,Ciutat Vella,el Barri Gòtic,10,1025,100,Rest of European Union,Female
2011,Ciutat Vella,el Barri Gòtic,10,1025,98,Rest of European Union,Male
2011,Ciutat Vella,el Barri Gòtic,10,1025,158,Rest of World,Female
2011,Ciutat Vella,el Barri Gòtic,10,1025,166,Rest of World,Male
2011,Ciutat Vella,el Barri Gòtic,10,1025,..,Not available,Male
2011,Ciutat Vella,el Barri Gòtic,10,1026,312,City of Barcelona,Female
2011,Ciutat Vella,el Barri Gòtic,10,1026,332,City of Barcelona,Male
2011,Ciutat Vella,el Barri Gòtic,10,1026,56,Rest of Catalonia,Female
2011,Ciutat Vella,el Barri Gòtic,10,1026,54,Rest of Catalonia,Male
2011,Ciutat Vella,el Barri Gòtic,10,1026,144,Rest of Spain,Female
2011,Ciutat Vella,el Barri Gòtic,10,1026,153,Rest of Spain,Male
2011,Ciutat Vella,el Barri Gòtic,10,1026,136,Rest of European Union,Female
2011,Ciutat Vella,el Barri Gòtic,10,1026,184,Rest of European Union,Male
2011,Ciutat Vella,el Barri Gòtic,10,1026,376,Rest of World,Female
2011,Ciutat Vella,el Barri Gòtic,10,1026,1168,Rest of World,Male
2011,Ciutat Vella,el Barri Gòtic,10,1026,..,Not available,Female
2011,Ciutat Vella,el Barri Gòtic,10,1027,276,City of Barcelona,Female
2011,Ciutat Vella,el Barri Gòtic,10,1027,286,City of Barcelona,Male
2011,Ciutat Vella,el Barri Gòtic,10,1027,60,Rest of Catalonia,Female
2011,Ciutat Vella,el Barri Gòtic,10,1027,49,Rest of Catalonia,Male
2011,Ciutat Vella,el Barri Gòtic,10,1027,144,Rest of Spain,Female
2011,Ciutat Vella,el Barri Gòtic,10,1027,129,Rest of Spain,Male
2011,Ciutat Vella,el Barri Gòtic,10,1027,94,Rest of European Union,Female
2011,Ciutat Vella,el Barri Gòtic,10,1027,104,Rest of European Union,Male
2011,Ciutat Vella,el Barri Gòtic,10,1027,204,Rest of World,Female
2011,Ciutat Vella,el Barri Gòtic,10,1027,266,Rest of World,Male
2011,Ciutat Vella,el Barri Gòtic,11,1028,317,City of Barcelona,Female
2011,Ciutat Vella,el Barri Gòtic,11,1028,340,City of Barcelona,Male
2011,Ciutat Vella,el Barri Gòtic,11,1028,70,Rest of Catalonia,Female
2011,Ciutat Vella,el Barri Gòtic,11,1028,91,Rest of Catalonia,Male
2011,Ciutat Vella,el Barri Gòtic,11,1028,154,Rest of Spain,Female
2011,Ciutat Vella,el Barri Gòtic,11,1028,191,Rest of Spain,Male
2011,Ciutat Vella,el Barri Gòtic,11,1028,127,Rest of European Union,Female
2011,Ciutat Vella,el Barri Gòtic,11,1028,159,Rest of European Union,Male
2011,Ciutat Vella,el Barri Gòtic,11,1028,211,Rest of World,Female
2011,Ciutat Vella,el Barri Gòtic,11,1028,367,Rest of World,Male
2011,Ciutat Vella,el Barri Gòtic,11,1029,184,City of Barcelona,Female
2011,Ciutat Vella,el Barri Gòtic,11,1029,194,City of Barcelona,Male
2011,Ciutat Vella,el Barri Gòtic,11,1029,45,Rest of Catalonia,Female
2011,Ciutat Vella,el Barri Gòtic,11,1029,45,Rest of Catalonia,Male
2011,Ciutat Vella,el Barri Gòtic,11,1029,116,Rest of Spain,Female
2011,Ciutat Vella,el Barri Gòtic,11,1029,117,Rest of Spain,Male
2011,Ciutat Vella,el Barri Gòtic,11,1029,136,Rest of European Union,Female
2011,Ciutat Vella,el Barri Gòtic,11,1029,106,Rest of European Union,Male
2011,Ciutat Vella,el Barri Gòtic,11,1029,219,Rest of World,Female
2011,Ciutat Vella,el Barri Gòtic,11,1029,270,Rest of World,Male
2011,Ciutat Vella,el Barri Gòtic,12,1030,394,City of Barcelona,Female
2011,Ciutat Vella,el Barri Gòtic,12,1030,408,City of Barcelona,Male
2011,Ciutat Vella,el Barri Gòtic,12,1030,68,Rest of Catalonia,Female
2011,Ciutat Vella,el Barri Gòtic,12,1030,85,Rest of Catalonia,Male
2011,Ciutat Vella,el Barri Gòtic,12,1030,241,Rest of Spain,Female
2011,Ciutat Vella,el Barri Gòtic,12,1030,251,Rest of Spain,Male
2011,Ciutat Vella,el Barri Gòtic,12,1030,140,Rest of European Union,Female
2011,Ciutat Vella,el Barri Gòtic,12,1030,173,Rest of European Union,Male
2011,Ciutat Vella,el Barri Gòtic,12,1030,301,Rest of World,Female
2011,Ciutat Vella,el Barri Gòtic,12,1030,432,Rest of World,Male
2011,Ciutat Vella,el Barri Gòtic,12,1031,238,City of Barcelona,Female
2011,Ciutat Vella,el Barri Gòtic,12,1031,227,City of Barcelona,Male
2011,Ciutat Vella,el Barri Gòtic,12,1031,43,Rest of Catalonia,Female
2011,Ciutat Vella,el Barri Gòtic,12,1031,43,Rest of Catalonia,Male
2011,Ciutat Vella,el Barri Gòtic,12,1031,155,Rest of Spain,Female
2011,Ciutat Vella,el Barri Gòtic,12,1031,140,Rest of Spain,Male
2011,Ciutat Vella,el Barri Gòtic,12,1031,134,Rest of European Union,Female
2011,Ciutat Vella,el Barri Gòtic,12,1031,121,Rest of European Union,Male
2011,Ciutat Vella,el Barri Gòtic,12,1031,217,Rest of World,Female
2011,Ciutat Vella,el Barri Gòtic,12,1031,385,Rest of World,Male
2011,Ciutat Vella,la Barceloneta,13,1032,426,City of Barcelona,Female
2011,Ciutat Vella,la Barceloneta,13,1032,404,City of Barcelona,Male
2011,Ciutat Vella,la Barceloneta,13,1032,46,Rest of Catalonia,Female
2011,Ciutat Vella,la Barceloneta,13,1032,52,Rest of Catalonia,Male
2011,Ciutat Vella,la Barceloneta,13,1032,176,Rest of Spain,Female
2011,Ciutat Vella,la Barceloneta,13,1032,151,Rest of Spain,Male
2011,Ciutat Vella,la Barceloneta,13,1032,127,Rest of European Union,Female
2011,Ciutat Vella,la Barceloneta,13,1032,127,Rest of European Union,Male
2011,Ciutat Vella,la Barceloneta,13,1032,210,Rest of World,Female
2011,Ciutat Vella,la Barceloneta,13,1032,261,Rest of World,Male
2011,Ciutat Vella,la Barceloneta,13,1033,269,City of Barcelona,Female
2011,Ciutat Vella,la Barceloneta,13,1033,260,City of Barcelona,Male
2011,Ciutat Vella,la Barceloneta,13,1033,39,Rest of Catalonia,Female
2011,Ciutat Vella,la Barceloneta,13,1033,29,Rest of Catalonia,Male
2011,Ciutat Vella,la Barceloneta,13,1033,93,Rest of Spain,Female
2011,Ciutat Vella,la Barceloneta,13,1033,90,Rest of Spain,Male
2011,Ciutat Vella,la Barceloneta,13,1033,49,Rest of European Union,Female
2011,Ciutat Vella,la Barceloneta,13,1033,56,Rest of European Union,Male
2011,Ciutat Vella,la Barceloneta,13,1033,135,Rest of World,Female
2011,Ciutat Vella,la Barceloneta,13,1033,159,Rest of World,Male
2011,Ciutat Vella,la Barceloneta,13,1033,..,Not available,Male
2011,Ciutat Vella,la Barceloneta,13,1034,222,City of Barcelona,Female
2011,Ciutat Vella,la Barceloneta,13,1034,237,City of Barcelona,Male
2011,Ciutat Vella,la Barceloneta,13,1034,35,Rest of Catalonia,Female
2011,Ciutat Vella,la Barceloneta,13,1034,10,Rest of Catalonia,Male
2011,Ciutat Vella,la Barceloneta,13,1034,104,Rest of Spain,Female
2011,Ciutat Vella,la Barceloneta,13,1034,101,Rest of Spain,Male
2011,Ciutat Vella,la Barceloneta,13,1034,52,Rest of European Union,Female
2011,Ciutat Vella,la Barceloneta,13,1034,44,Rest of European Union,Male
2011,Ciutat Vella,la Barceloneta,13,1034,132,Rest of World,Female
2011,Ciutat Vella,la Barceloneta,13,1034,136,Rest of World,Male
2011,Ciutat Vella,la Barceloneta,14,1035,271,City of Barcelona,Female
2011,Ciutat Vella,la Barceloneta,14,1035,283,City of Barcelona,Male
2011,Ciutat Vella,la Barceloneta,14,1035,23,Rest of Catalonia,Female
2011,Ciutat Vella,la Barceloneta,14,1035,36,Rest of Catalonia,Male
2011,Ciutat Vella,la Barceloneta,14,1035,150,Rest of Spain,Female
2011,Ciutat Vella,la Barceloneta,14,1035,120,Rest of Spain,Male
2011,Ciutat Vella,la Barceloneta,14,1035,82,Rest of European Union,Female
2011,Ciutat Vella,la Barceloneta,14,1035,66,Rest of European Union,Male
2011,Ciutat Vella,la Barceloneta,14,1035,165,Rest of World,Female
2011,Ciutat Vella,la Barceloneta,14,1035,206,Rest of World,Male
2011,Ciutat Vella,la Barceloneta,14,1036,351,City of Barcelona,Female
2011,Ciutat Vella,la Barceloneta,14,1036,321,City of Barcelona,Male
2011,Ciutat Vella,la Barceloneta,14,1036,22,Rest of Catalonia,Female
2011,Ciutat Vella,la Barceloneta,14,1036,24,Rest of Catalonia,Male
2011,Ciutat Vella,la Barceloneta,14,1036,142,Rest of Spain,Female
2011,Ciutat Vella,la Barceloneta,14,1036,118,Rest of Spain,Male
2011,Ciutat Vella,la Barceloneta,14,1036,37,Rest of European Union,Female
2011,Ciutat Vella,la Barceloneta,14,1036,42,Rest of European Union,Male
2011,Ciutat Vella,la Barceloneta,14,1036,66,Rest of World,Female
2011,Ciutat Vella,la Barceloneta,14,1036,76,Rest of World,Male
2011,Ciutat Vella,la Barceloneta,15,1037,412,City of Barcelona,Female
2011,Ciutat Vella,la Barceloneta,15,1037,400,City of Barcelona,Male
2011,Ciutat Vella,la Barceloneta,15,1037,34,Rest of Catalonia,Female
2011,Ciutat Vella,la Barceloneta,15,1037,22,Rest of Catalonia,Male
2011,Ciutat Vella,la Barceloneta,15,1037,127,Rest of Spain,Female
2011,Ciutat Vella,la Barceloneta,15,1037,100,Rest of Spain,Male
2011,Ciutat Vella,la Barceloneta,15,1037,58,Rest of European Union,Female
2011,Ciutat Vella,la Barceloneta,15,1037,36,Rest of European Union,Male
2011,Ciutat Vella,la Barceloneta,15,1037,80,Rest of World,Female
2011,Ciutat Vella,la Barceloneta,15,1037,82,Rest of World,Male
2011,Ciutat Vella,la Barceloneta,15,1038,314,City of Barcelona,Female
2011,Ciutat Vella,la Barceloneta,15,1038,310,City of Barcelona,Male
2011,Ciutat Vella,la Barceloneta,15,1038,25,Rest of Catalonia,Female
