Year_Reference,District,Neighborhood,AEB,Census_Section,Value,Birth_Place,Sex
2018,Ciutat Vella,el Raval,1,1001,168,City of Barcelona,Female
2018,Ciutat Vella,el Raval,1,1001,167,City of Barcelona,Male
2018,Ciutat Vella,el Raval,1,1001,35,Rest of Catalonia,Female
2018,Ciutat Vella,el Raval,1,1001,33,Rest of Catalonia,Male
2018,Ciutat Vella,el Raval,1,1001,98,Rest of Spain,Female
2018,Ciutat Vella,el Raval,1,1001,126,Rest of Spain,Male
2018,Ciutat Vella,el Raval,1,1001,61,Rest of European Union,Female
2018,Ciutat Vella,el Raval,1,1001,76,Rest of European Union,Male
2018,Ciutat Vella,el Raval,1,1001,221,Rest of World,Female
2018,Ciutat Vella,el Raval,1,1001,296,Rest of World,Male
2018,Ciutat Vella,el Raval,1,1002,169,City of Barcelona,Female
2018,Ciutat Vella,el Raval,1,1002,171,City of Barcelona,Male
2018,Ciutat Vella,el Raval,1,1002,35,Rest of Catalonia,Female
2018,Ciutat Vella,el Raval,1,1002,23,Rest of Catalonia,Male
2018,Ciutat Vella,el Raval,1,1002,90,Rest of Spain,Female
2018,Ciutat Vella,el Raval,1,1002,72,Rest of Spain,Male
2018,Ciutat Vella,el Raval,1,1002,81,Rest of European Union,Female
2018,Ciutat Vella,el Raval,1,1002,72,Rest of European Union,Male
2018,Ciutat Vella,el Raval,1,1002,309,Rest of World,Female
2018,Ciutat Vella,el Raval,1,1002,479,Rest of World,Male
2018,Ciutat Vella,el Raval,2,1003,506,City of Barcelona,Female
2018,Ciutat Vella,el Raval,2,1003,519,City of Barcelona,Male
2018,Ciutat Vella,el Raval,2,1003,145,Rest of Catalonia,Female
2018,Ciutat Vella,el Raval,2,1003,155,Rest of Catalonia,Male
2018,Ciutat Vella,el Raval,2,1003,197,Rest of Spain,Female
2018,Ciutat Vella,el Raval,2,1003,199,Rest of Spain,Male
2018,Ciutat Vella,el Raval,2,1003,106,Rest of European Union,Female
2018,Ciutat Vella,el Raval,2,1003,126,Rest of European Union,Male
2018,Ciutat Vella,el Raval,2,1003,660,Rest of World,Female
2018,Ciutat Vella,el Raval,2,1003,881,Rest of World,Male
2018,Ciutat Vella,el Raval,2,1003,..,Not available,Female
2018,Ciutat Vella,el Raval,2,1004,449,City of Barcelona,Female
2018,Ciutat Vella,el Raval,2,1004,435,City of Barcelona,Male
2018,Ciutat Vella,el Raval,2,1004,62,Rest of Catalonia,Female
2018,Ciutat Vella,el Raval,2,1004,64,Rest of Catalonia,Male
2018,Ciutat Vella,el Raval,2,1004,171,Rest of Spain,Female
2018,Ciutat Vella,el Raval,2,1004,191,Rest of Spain,Male
2018,Ciutat Vella,el Raval,2,1004,117,Rest of European Union,Female
2018,Ciutat Vella,el Raval,2,1004,139,Rest of European Union,Male
2018,Ciutat Vella,el Raval,2,1004,513,Rest of World,Female
2018,Ciutat Vella,el Raval,2,1004,732,Rest of World,Male
2018,Ciutat Vella,el Raval,2,1004,..,Not available,Female
2018,Ciutat Vella,el Raval,2,1004,..,Not available,Male
2018,Ciutat Vella,el Raval,3,1005,344,City of Barcelona,Female
2018,Ciutat Vella,el Raval,3,1005,334,City of Barcelona,Male
2018,Ciutat Vella,el Raval,3,1005,46,Rest of Catalonia,Female
2018,Ciutat Vella,el Raval,3,1005,48,Rest of Catalonia,Male
2018,Ciutat Vella,el Raval,3,1005,159,Rest of Spain,Female
2018,Ciutat Vella,el Raval,3,1005,147,Rest of Spain,Male
2018,Ciutat Vella,el Raval,3,1005,153,Rest of European Union,Female
2018,Ciutat Vella,el Raval,3,1005,138,Rest of European Union,Male
2018,Ciutat Vella,el Raval,3,1005,409,Rest of World,Female
2018,Ciutat Vella,el Raval,3,1005,681,Rest of World,Male
2018,Ciutat Vella,el Raval,3,1005,..,Not available,Female
2018,Ciutat Vella,el Raval,3,1006,171,City of Barcelona,Female
2018,Ciutat Vella,el Raval,3,1006,179,City of Barcelona,Male
2018,Ciutat Vella,el Raval,3,1006,34,Rest of Catalonia,Female
2018,Ciutat Vella,el Raval,3,1006,34,Rest of Catalonia,Male
2018,Ciutat Vella,el Raval,3,1006,96,Rest of Spain,Female
2018,Ciutat Vella,el Raval,3,1006,84,Rest of Spain,Male
2018,Ciutat Vella,el Raval,3,1006,102,Rest of European Union,Female
2018,Ciutat Vella,el Raval,3,1006,131,Rest of European Union,Male
2018,Ciutat Vella,el Raval,3,1006,306,Rest of World,Female
2018,Ciutat Vella,el Raval,3,1006,496,Rest of World,Male
2018,Ciutat Vella,el Raval,3,1006,..,Not available,Female
2018,Ciutat Vella,el Raval,3,1006,..,Not available,Male
2018,Ciutat Vella,el Raval,3,1007,254,City of Barcelona,Female
2018,Ciutat Vella,el Raval,3,1007,272,City of Barcelona,Male
2018,Ciutat Vella,el Raval,3,1007,47,Rest of Catalonia,Female
2018,Ciutat Vella,el Raval,3,1007,39,Rest of Catalonia,Male
2018,Ciutat Vella,el Raval,3,1007,74,Rest of Spain,Female
2018,Ciutat Vella,el Raval,3,1007,109,Rest of Spain,Male
2018,Ciutat Vella,el Raval,3,1007,78,Rest of European Union,Female
2018,Ciutat Vella,el Raval,3,1007,91,Rest of European Union,Male
2018,Ciutat Vella,el Raval,3,1007,337,Rest of World,Female
2018,Ciutat Vella,el Raval,3,1007,681,Rest of World,Male
2018,Ciutat Vella,el Raval,4,1008,347,City of Barcelona,Female
2018,Ciutat Vella,el Raval,4,1008,410,City of Barcelona,Male
2018,Ciutat Vella,el Raval,4,1008,46,Rest of Catalonia,Female
2018,Ciutat Vella,el Raval,4,1008,53,Rest of Catalonia,Male
2018,Ciutat Vella,el Raval,4,1008,135,Rest of Spain,Female
2018,Ciutat Vella,el Raval,4,1008,157,Rest of Spain,Male
2018,Ciutat Vella,el Raval,4,1008,105,Rest of European Union,Female
2018,Ciutat Vella,el Raval,4,1008,114,Rest of European Union,Male
2018,Ciutat Vella,el Raval,4,1008,688,Rest of World,Female
2018,Ciutat Vella,el Raval,4,1008,1251,Rest of World,Male
2018,Ciutat Vella,el Raval,4,1009,301,City of Barcelona,Female
2018,Ciutat Vella,el Raval,4,1009,313,City of Barcelona,Male
2018,Ciutat Vella,el Raval,4,1009,36,Rest of Catalonia,Female
2018,Ciutat Vella,el Raval,4,1009,37,Rest of Catalonia,Male
2018,Ciutat Vella,el Raval,4,1009,129,Rest of Spain,Female
2018,Ciutat Vella,el Raval,4,1009,106,Rest of Spain,Male
2018,Ciutat Vella,el Raval,4,1009,70,Rest of European Union,Female
2018,Ciutat Vella,el Raval,4,1009,81,Rest of European Union,Male
2018,Ciutat Vella,el Raval,4,1009,467,Rest of World,Female
2018,Ciutat Vella,el Raval,4,1009,704,Rest of World,Male
2018,Ciutat Vella,el Raval,4,1009,..,Not available,Male
2018,Ciutat Vella,el Raval,4,1010,281,City of Barcelona,Female
2018,Ciutat Vella,el Raval,4,1010,301,City of Barcelona,Male
2018,Ciutat Vella,el Raval,4,1010,36,Rest of Catalonia,Female
2018,Ciutat Vella,el Raval,4,1010,30,Rest of Catalonia,Male
