Year_Reference,District,Neighborhood,AEB,Census_Section,Value,Birth_Place,Sex
2019,Ciutat Vella,el Raval,1,1001,174,City of Barcelona,Female
2019,Ciutat Vella,el Raval,1,1001,175,City of Barcelona,Male
2019,Ciutat Vella,el Raval,1,1001,32,Rest of Catalonia,Female
2019,Ciutat Vella,el Raval,1,1001,36,Rest of Catalonia,Male
2019,Ciutat Vella,el Raval,1,1001,91,Rest of Spain,Female
2019,Ciutat Vella,el Raval,1,1001,123,Rest of Spain,Male
2019,Ciutat Vella,el Raval,1,1001,63,Rest of European Union,Female
2019,Ciutat Vella,el Raval,1,1001,83,Rest of European Union,Male
2019,Ciutat Vella,el Raval,1,1001,236,Rest of World,Female
2019,Ciutat Vella,el Raval,1,1001,332,Rest of World,Male
2019,Ciutat Vella,el Raval,1,1002,167,City of Barcelona,Female
2019,Ciutat Vella,el Raval,1,1002,173,City of Barcelona,Male
2019,Ciutat Vella,el Raval,1,1002,34,Rest of Catalonia,Female
2019,Ciutat Vella,el Raval,1,1002,23,Rest of Catalonia,Male
2019,Ciutat Vella,el Raval,1,1002,90,Rest of Spain,Female
2019,Ciutat Vella,el Raval,1,1002,63,Rest of Spain,Male
2019,Ciutat Vella,el Raval,1,1002,89,Rest of European Union,Female
2019,Ciutat Vella,el Raval,1,1002,86,Rest of European Union,Male
2019,Ciutat Vella,el Raval,1,1002,322,Rest of World,Female
2019,Ciutat Vella,el Raval,1,1002,477,Rest of World,Male
2019,Ciutat Vella,el Raval,2,1003,501,City of Barcelona,Female
2019,Ciutat Vella,el Raval,2,1003,500,City of Barcelona,Male
2019,Ciutat Vella,el Raval,2,1003,159,Rest of Catalonia,Female
2019,Ciutat Vella,el Raval,2,1003,163,Rest of Catalonia,Male
2019,Ciutat Vella,el Raval,2,1003,196,Rest of Spain,Female
2019,Ciutat Vella,el Raval,2,1003,186,Rest of Spain,Male
2019,Ciutat Vella,el Raval,2,1003,122,Rest of European Union,Female
2019,Ciutat Vella,el Raval,2,1003,125,Rest of European Union,Male
2019,Ciutat Vella,el Raval,2,1003,685,Rest of World,Female
2019,Ciutat Vella,el Raval,2,1003,942,Rest of World,Male
2019,Ciutat Vella,el Raval,2,1003,..,Not available,Female
2019,Ciutat Vella,el Raval,2,1004,441,City of Barcelona,Female
2019,Ciutat Vella,el Raval,2,1004,419,City of Barcelona,Male
2019,Ciutat Vella,el Raval,2,1004,60,Rest of Catalonia,Female
2019,Ciutat Vella,el Raval,2,1004,61,Rest of Catalonia,Male
2019,Ciutat Vella,el Raval,2,1004,168,Rest of Spain,Female
2019,Ciutat Vella,el Raval,2,1004,188,Rest of Spain,Male
2019,Ciutat Vella,el Raval,2,1004,117,Rest of European Union,Female
2019,Ciutat Vella,el Raval,2,1004,151,Rest of European Union,Male
2019,Ciutat Vella,el Raval,2,1004,502,Rest of World,Female
2019,Ciutat Vella,el Raval,2,1004,769,Rest of World,Male
2019,Ciutat Vella,el Raval,2,1004,..,Not available,Male
2019,Ciutat Vella,el Raval,3,1005,341,City of Barcelona,Female
2019,Ciutat Vella,el Raval,3,1005,331,City of Barcelona,Male
2019,Ciutat Vella,el Raval,3,1005,42,Rest of Catalonia,Female
2019,Ciutat Vella,el Raval,3,1005,47,Rest of Catalonia,Male
2019,Ciutat Vella,el Raval,3,1005,144,Rest of Spain,Female
2019,Ciutat Vella,el Raval,3,1005,143,Rest of Spain,Male
2019,Ciutat Vella,el Raval,3,1005,154,Rest of European Union,Female
2019,Ciutat Vella,el Raval,3,1005,153,Rest of European Union,Male
2019,Ciutat Vella,el Raval,3,1005,435,Rest of World,Female
2019,Ciutat Vella,el Raval,3,1005,686,Rest of World,Male
2019,Ciutat Vella,el Raval,3,1005,..,Not available,Female
2019,Ciutat Vella,el Raval,3,1006,171,City of Barcelona,Female
2019,Ciutat Vella,el Raval,3,1006,177,City of Barcelona,Male
2019,Ciutat Vella,el Raval,3,1006,36,Rest of Catalonia,Female
2019,Ciutat Vella,el Raval,3,1006,33,Rest of Catalonia,Male
2019,Ciutat Vella,el Raval,3,1006,87,Rest of Spain,Female
2019,Ciutat Vella,el Raval,3,1006,79,Rest of Spain,Male
2019,Ciutat Vella,el Raval,3,1006,95,Rest of European Union,Female
2019,Ciutat Vella,el Raval,3,1006,128,Rest of European Union,Male
2019,Ciutat Vella,el Raval,3,1006,320,Rest of World,Female
2019,Ciutat Vella,el Raval,3,1006,498,Rest of World,Male
2019,Ciutat Vella,el Raval,3,1006,..,Not available,Female
2019,Ciutat Vella,el Raval,3,1006,..,Not available,Male
2019,Ciutat Vella,el Raval,3,1007,248,City of Barcelona,Female
2019,Ciutat Vella,el Raval,3,1007,273,City of Barcelona,Male
2019,Ciutat Vella,el Raval,3,1007,42,Rest of Catalonia,Female
2019,Ciutat Vella,el Raval,3,1007,38,Rest of Catalonia,Male
2019,Ciutat Vella,el Raval,3,1007,73,Rest of Spain,Female
2019,Ciutat Vella,el Raval,3,1007,93,Rest of Spain,Male
2019,Ciutat Vella,el Raval,3,1007,95,Rest of European Union,Female
2019,Ciutat Vella,el Raval,3,1007,103,Rest of European Union,Male
2019,Ciutat Vella,el Raval,3,1007,331,Rest of World,Female
2019,Ciutat Vella,el Raval,3,1007,687,Rest of World,Male
2019,Ciutat Vella,el Raval,4,1008,335,City of Barcelona,Female
2019,Ciutat Vella,el Raval,4,1008,415,City of Barcelona,Male
2019,Ciutat Vella,el Raval,4,1008,44,Rest of Catalonia,Female
2019,Ciutat Vella,el Raval,4,1008,54,Rest of Catalonia,Male
2019,Ciutat Vella,el Raval,4,1008,115,Rest of Spain,Female
2019,Ciutat Vella,el Raval,4,1008,146,Rest of Spain,Male
2019,Ciutat Vella,el Raval,4,1008,111,Rest of European Union,Female
2019,Ciutat Vella,el Raval,4,1008,157,Rest of European Union,Male
2019,Ciutat Vella,el Raval,4,1008,701,Rest of World,Female
2019,Ciutat Vella,el Raval,4,1008,1239,Rest of World,Male
2019,Ciutat Vella,el Raval,4,1008,..,Not available,Male
2019,Ciutat Vella,el Raval,4,1009,300,City of Barcelona,Female
2019,Ciutat Vella,el Raval,4,1009,306,City of Barcelona,Male
2019,Ciutat Vella,el Raval,4,1009,36,Rest of Catalonia,Female
2019,Ciutat Vella,el Raval,4,1009,37,Rest of Catalonia,Male
2019,Ciutat Vella,el Raval,4,1009,128,Rest of Spain,Female
2019,Ciutat Vella,el Raval,4,1009,101,Rest of Spain,Male
2019,Ciutat Vella,el Raval,4,1009,77,Rest of European Union,Female
2019,Ciutat Vella,el Raval,4,1009,96,Rest of European Union,Male
2019,Ciutat Vella,el Raval,4,1009,465,Rest of World,Female
2019,Ciutat Vella,el Raval,4,1009,732,Rest of World,Male
2019,Ciutat Vella,el Raval,4,1010,279,City of Barcelona,Female
2019,Ciutat Vella,el Raval,4,1010,285,City of Barcelona,Male
2019,Ciutat Vella,el Raval,4,1010,35,Rest of Catalonia,Female
2019,Ciutat Vella,el Raval,4,1010,30,Rest of Catalonia,Male
2019,Ciutat Vella,el Raval,4,1010,90,Rest of Spain,Female
2019,Ciutat Vella,el Raval,4,1010,83,Rest of Spain,Male
2019,Ciutat Vella,el Raval,4,1010,89,Rest of European Union,Female
2019,Ciutat Vella,el Raval,4,1010,105,Rest of European Union,Male
2019,Ciutat Vella,el Raval,4,1010,583,Rest of World,Female
2019,Ciutat Vella,el Raval,4,1010,862,Rest of World,Male
2019,Ciutat Vella,el Raval,5,1011,346,City of Barcelona,Female
2019,Ciutat Vella,el Raval,5,1011,395,City of Barcelona,Male
2019,Ciutat Vella,el Raval,5,1011,36,Rest of Catalonia,Female
2019,Ciutat Vella,el Raval,5,1011,53,Rest of Catalonia,Male
2019,Ciutat Vella,el Raval,5,1011,108,Rest of Spain,Female
2019,Ciutat Vella,el Raval,5,1011,111,Rest of Spain,Male
2019,Ciutat Vella,el Raval,5,1011,142,Rest of European Union,Female
2019,Ciutat Vella,el Raval,5,1011,133,Rest of European Union,Male
2019,Ciutat Vella,el Raval,5,1011,750,Rest of World,Female
2019,Ciutat Vella,el Raval,5,1011,1135,Rest of World,Male
2019,Ciutat Vella,el Raval,5,1012,283,City of Barcelona,Female
2019,Ciutat Vella,el Raval,5,1012,253,City of Barcelona,Male
2019,Ciutat Vella,el Raval,5,1012,34,Rest of Catalonia,Female
2019,Ciutat Vella,el Raval,5,1012,42,Rest of Catalonia,Male
2019,Ciutat Vella,el Raval,5,1012,106,Rest of Spain,Female
2019,Ciutat Vella,el Raval,5,1012,89,Rest of Spain,Male
2019,Ciutat Vella,el Raval,5,1012,78,Rest of European Union,Female
2019,Ciutat Vella,el Raval,5,1012,95,Rest of European Union,Male
2019,Ciutat Vella,el Raval,5,1012,451,Rest of World,Female
2019,Ciutat Vella,el Raval,5,1012,499,Rest of World,Male
2019,Ciutat Vella,el Raval,5,1012,..,Not available,Male
2019,Ciutat Vella,el Raval,5,1013,236,City of Barcelona,Female
2019,Ciutat Vella,el Raval,5,1013,227,City of Barcelona,Male
2019,Ciutat Vella,el Raval,5,1013,33,Rest of Catalonia,Female
2019,Ciutat Vella,el Raval,5,1013,36,Rest of Catalonia,Male
2019,Ciutat Vella,el Raval,5,1013,96,Rest of Spain,Female
2019,Ciutat Vella,el Raval,5,1013,68,Rest of Spain,Male
2019,Ciutat Vella,el Raval,5,1013,57,Rest of European Union,Female
2019,Ciutat Vella,el Raval,5,1013,42,Rest of European Union,Male
2019,Ciutat Vella,el Raval,5,1013,316,Rest of World,Female
2019,Ciutat Vella,el Raval,5,1013,336,Rest of World,Male
2019,Ciutat Vella,el Raval,6,1014,258,City of Barcelona,Female
2019,Ciutat Vella,el Raval,6,1014,284,City of Barcelona,Male
2019,Ciutat Vella,el Raval,6,1014,33,Rest of Catalonia,Female
2019,Ciutat Vella,el Raval,6,1014,43,Rest of Catalonia,Male
2019,Ciutat Vella,el Raval,6,1014,101,Rest of Spain,Female
2019,Ciutat Vella,el Raval,6,1014,111,Rest of Spain,Male
2019,Ciutat Vella,el Raval,6,1014,50,Rest of European Union,Female
2019,Ciutat Vella,el Raval,6,1014,85,Rest of European Union,Male
