Year_Reference,District,Neighborhood,AEB,Census_Section,Value,Birth_Place,Sex
2023,Ciutat Vella,el Raval,1,1001,168,City of Barcelona,Female
2023,Ciutat Vella,el Raval,1,1001,163,City of Barcelona,Male
2023,Ciutat Vella,el Raval,1,1001,32,Rest of Catalonia,Female
2023,Ciutat Vella,el Raval,1,1001,31,Rest of Catalonia,Male
2023,Ciutat Vella,el Raval,1,1001,82,Rest of Spain,Female
2023,Ciutat Vella,el Raval,1,1001,100,Rest of Spain,Male
2023,Ciutat Vella,el Raval,1,1001,44,Rest of European Union,Female
2023,Ciutat Vella,el Raval,1,1001,46,Rest of European Union,Male
2023,Ciutat Vella,el Raval,1,1001,280,Rest of World,Female
2023,Ciutat Vella,el Raval,1,1001,300,Rest of World,Male
2023,Ciutat Vella,el Raval,1,1002,131,City of Barcelona,Female
2023,Ciutat Vella,el Raval,1,1002,142,City of Barcelona,Male
2023,Ciutat Vella,el Raval,1,1002,30,Rest of Catalonia,Female
2023,Ciutat Vella,el Raval,1,1002,17,Rest of Catalonia,Male
2023,Ciutat Vella,el Raval,1,1002,66,Rest of Spain,Female
2023,Ciutat Vella,el Raval,1,1002,44,Rest of Spain,Male
2023,Ciutat Vella,el Raval,1,1002,62,Rest of European Union,Female
2023,Ciutat Vella,el Raval,1,1002,74,Rest of European Union,Male
2023,Ciutat Vella,el Raval,1,1002,299,Rest of World,Female
2023,Ciutat Vella,el Raval,1,1002,373,Rest of World,Male
2023,Ciutat Vella,el Raval,2,1003,471,City of Barcelona,Female
2023,Ciutat Vella,el Raval,2,1003,487,City of Barcelona,Male
2023,Ciutat Vella,el Raval,2,1003,148,Rest of Catalonia,Female
2023,Ciutat Vella,el Raval,2,1003,161,Rest of Catalonia,Male
2023,Ciutat Vella,el Raval,2,1003,139,Rest of Spain,Female
2023,Ciutat Vella,el Raval,2,1003,174,Rest of Spain,Male
2023,Ciutat Vella,el Raval,2,1003,72,Rest of European Union,Female
2023,Ciutat Vella,el Raval,2,1003,86,Rest of European Union,Male
2023,Ciutat Vella,el Raval,2,1003,724,Rest of World,Female
2023,Ciutat Vella,el Raval,2,1003,943,Rest of World,Male
2023,Ciutat Vella,el Raval,2,1003,..,Not available,Female
2023,Ciutat Vella,el Raval,2,1004,408,City of Barcelona,Female
2023,Ciutat Vella,el Raval,2,1004,394,City of Barcelona,Male
2023,Ciutat Vella,el Raval,2,1004,49,Rest of Catalonia,Female
2023,Ciutat Vella,el Raval,2,1004,68,Rest of Catalonia,Male
2023,Ciutat Vella,el Raval,2,1004,139,Rest of Spain,Female
2023,Ciutat Vella,el Raval,2,1004,156,Rest of Spain,Male
2023,Ciutat Vella,el Raval,2,1004,91,Rest of European Union,Female
2023,Ciutat Vella,el Raval,2,1004,142,Rest of European Union,Male
2023,Ciutat Vella,el Raval,2,1004,643,Rest of World,Female
2023,Ciutat Vella,el Raval,2,1004,785,Rest of World,Male
2023,Ciutat Vella,el Raval,2,1004,..,Not available,Female
2023,Ciutat Vella,el Raval,2,1004,..,Not available,Male
2023,Ciutat Vella,el Raval,3,1005,343,City of Barcelona,Female
2023,Ciutat Vella,el Raval,3,1005,317,City of Barcelona,Male
2023,Ciutat Vella,el Raval,3,1005,42,Rest of Catalonia,Female
2023,Ciutat Vella,el Raval,3,1005,54,Rest of Catalonia,Male
2023,Ciutat Vella,el Raval,3,1005,108,Rest of Spain,Female
2023,Ciutat Vella,el Raval,3,1005,123,Rest of Spain,Male
2023,Ciutat Vella,el Raval,3,1005,109,Rest of European Union,Female
2023,Ciutat Vella,el Raval,3,1005,110,Rest of European Union,Male
2023,Ciutat Vella,el Raval,3,1005,480,Rest of World,Female
2023,Ciutat Vella,el Raval,3,1005,605,Rest of World,Male
2023,Ciutat Vella,el Raval,3,1005,..,Not available,Female
2023,Ciutat Vella,el Raval,3,1005,..,Not available,Male
2023,Ciutat Vella,el Raval,3,1006,168,City of Barcelona,Female
2023,Ciutat Vella,el Raval,3,1006,187,City of Barcelona,Male
2023,Ciutat Vella,el Raval,3,1006,26,Rest of Catalonia,Female
2023,Ciutat Vella,el Raval,3,1006,40,Rest of Catalonia,Male
2023,Ciutat Vella,el Raval,3,1006,74,Rest of Spain,Female
2023,Ciutat Vella,el Raval,3,1006,64,Rest of Spain,Male
2023,Ciutat Vella,el Raval,3,1006,91,Rest of European Union,Female
2023,Ciutat Vella,el Raval,3,1006,80,Rest of European Union,Male
2023,Ciutat Vella,el Raval,3,1006,373,Rest of World,Female
2023,Ciutat Vella,el Raval,3,1006,474,Rest of World,Male
2023,Ciutat Vella,el Raval,3,1006,..,Not available,Female
2023,Ciutat Vella,el Raval,3,1006,..,Not available,Male
2023,Ciutat Vella,el Raval,3,1007,203,City of Barcelona,Female
2023,Ciutat Vella,el Raval,3,1007,268,City of Barcelona,Male
2023,Ciutat Vella,el Raval,3,1007,36,Rest of Catalonia,Female
2023,Ciutat Vella,el Raval,3,1007,37,Rest of Catalonia,Male
2023,Ciutat Vella,el Raval,3,1007,73,Rest of Spain,Female
2023,Ciutat Vella,el Raval,3,1007,71,Rest of Spain,Male
2023,Ciutat Vella,el Raval,3,1007,82,Rest of European Union,Female
2023,Ciutat Vella,el Raval,3,1007,72,Rest of European Union,Male
2023,Ciutat Vella,el Raval,3,1007,401,Rest of World,Female
2023,Ciutat Vella,el Raval,3,1007,668,Rest of World,Male
2023,Ciutat Vella,el Raval,4,1008,344,City of Barcelona,Female
2023,Ciutat Vella,el Raval,4,1008,394,City of Barcelona,Male
2023,Ciutat Vella,el Raval,4,1008,36,Rest of Catalonia,Female
2023,Ciutat Vella,el Raval,4,1008,48,Rest of Catalonia,Male
2023,Ciutat Vella,el Raval,4,1008,102,Rest of Spain,Female
2023,Ciutat Vella,el Raval,4,1008,113,Rest of Spain,Male
2023,Ciutat Vella,el Raval,4,1008,76,Rest of European Union,Female
2023,Ciutat Vella,el Raval,4,1008,115,Rest of European Union,Male
2023,Ciutat Vella,el Raval,4,1008,767,Rest of World,Female
