Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,LLOC_NAIX,SEXE
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,166,1,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,157,1,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,32,2,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,41,2,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,97,3,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,123,3,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,61,4,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,67,4,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,210,5,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,311,5,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,173,1,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,185,1,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,32,2,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,23,2,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,100,3,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,75,3,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,83,4,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,77,4,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,301,5,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,546,5,2
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,503,1,1
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,529,1,2
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,135,2,1
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,135,2,2
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,201,3,1
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,203,3,2
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,90,4,1
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,105,4,2
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,628,5,1
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,921,5,2
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,6,1
