Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,LLOC_NAIX,SEXE
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,178,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,188,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,31,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,34,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,106,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,129,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,53,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,61,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,207,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,339,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,191,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,193,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,42,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,28,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,107,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,93,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,77,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,77,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,281,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,467,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,522,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,510,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,104,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,96,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,228,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,201,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,86,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,86,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,590,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,882,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,462,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,441,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,65,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,75,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,182,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,226,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,111,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,116,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,425,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,748,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,6,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,6,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,391,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,340,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,39,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,55,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,184,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,174,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,140,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,102,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,313,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,713,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,6,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,183,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,185,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,35,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,44,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,113,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,104,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,113,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,87,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,287,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,469,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,277,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,290,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,38,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,40,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,97,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,123,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,87,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,97,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,295,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,707,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,6,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,379,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,462,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,50,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,57,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,164,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,196,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,98,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,109,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,672,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,1316,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,6,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,316,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,316,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,46,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,42,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,141,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,121,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,70,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,62,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,442,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,634,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,..,6,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,..,6,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1010,269,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1010,323,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1010,34,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1010,38,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1010,106,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1010,87,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1010,63,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1010,64,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1010,530,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1010,875,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1011,395,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1011,436,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1011,72,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1011,59,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1011,151,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1011,151,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1011,116,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1011,103,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1011,738,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1011,1260,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1012,279,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1012,276,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1012,38,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1012,48,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1012,113,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1012,91,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1012,82,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1012,65,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1012,403,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1012,503,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1013,269,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1013,222,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1013,44,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1013,37,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1013,103,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1013,76,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1013,44,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1013,35,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1013,230,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1013,275,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1014,289,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1014,295,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1014,34,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1014,47,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1014,124,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1014,102,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1014,56,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1014,65,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1014,475,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1014,491,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1015,334,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1015,342,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1015,40,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1015,39,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1015,144,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1015,115,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1015,60,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1015,50,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1015,528,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1015,623,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1016,271,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1016,246,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1016,42,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1016,45,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1016,103,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1016,88,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1016,60,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1016,72,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1016,603,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1016,635,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1016,..,6,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1017,319,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1017,324,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1017,41,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1017,37,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1017,124,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1017,125,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1017,108,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1017,104,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1017,676,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1017,847,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1018,247,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1018,241,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1018,37,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1018,26,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1018,89,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1018,93,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1018,67,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1018,40,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1018,306,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1018,375,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1019,357,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1019,354,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1019,55,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1019,63,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1019,185,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1019,160,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1019,121,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1019,133,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1019,538,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1019,866,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1019,..,6,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1020,362,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1020,338,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1020,101,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1020,75,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1020,206,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1020,117,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1020,162,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1020,146,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1020,264,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1020,285,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1020,..,6,1
2014-01-01,1,Ciutat Vella,1,el Raval,8,1021,325,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,8,1021,298,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,8,1021,87,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,8,1021,88,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,8,1021,189,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,8,1021,155,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,8,1021,121,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,8,1021,130,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,8,1021,265,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,8,1021,333,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,8,1021,..,6,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,256,1,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,238,1,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,64,2,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,51,2,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,107,3,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,69,3,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,79,4,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,95,4,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,131,5,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,137,5,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,..,6,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,376,1,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,354,1,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,78,2,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,68,2,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,173,3,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,129,3,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,129,4,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,120,4,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,283,5,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,253,5,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,..,6,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,234,1,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,210,1,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,51,2,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,53,2,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,77,3,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,70,3,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,114,4,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,121,4,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,175,5,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,181,5,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,307,1,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,325,1,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,58,2,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,64,2,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,137,3,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,154,3,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,156,4,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,214,4,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,230,5,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,503,5,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,..,6,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,254,1,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,256,1,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,57,2,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,42,2,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,127,3,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,113,3,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,123,4,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,141,4,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,211,5,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,271,5,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,288,1,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,308,1,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,64,2,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,71,2,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,137,3,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,125,3,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,157,4,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,156,4,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,248,5,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,390,5,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,173,1,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,176,1,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,42,2,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,46,2,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,90,3,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,107,3,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,167,4,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,124,4,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,192,5,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,250,5,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,376,1,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,406,1,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,54,2,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,78,2,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,202,3,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,236,3,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,190,4,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,198,4,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,340,5,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,432,5,2
