Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,LLOC_NAIX_REGIO,SEXE
2014-01-01,1,Ciutat Vella,1,el Raval,11,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,15,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,16,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,778,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,1070,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,..,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,11,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,65,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,128,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,322,6,1
2014-01-01,1,Ciutat Vella,1,el Raval,270,6,2
2014-01-01,1,Ciutat Vella,1,el Raval,215,7,1
2014-01-01,1,Ciutat Vella,1,el Raval,236,7,2
2014-01-01,1,Ciutat Vella,1,el Raval,1963,8,1
2014-01-01,1,Ciutat Vella,1,el Raval,1948,8,2
2014-01-01,1,Ciutat Vella,1,el Raval,103,9,1
2014-01-01,1,Ciutat Vella,1,el Raval,109,9,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,10,1
2014-01-01,1,Ciutat Vella,1,el Raval,8,10,2
2014-01-01,1,Ciutat Vella,1,el Raval,171,11,1
2014-01-01,1,Ciutat Vella,1,el Raval,131,11,2
2014-01-01,1,Ciutat Vella,1,el Raval,1833,12,1
2014-01-01,1,Ciutat Vella,1,el Raval,7016,12,2
2014-01-01,1,Ciutat Vella,1,el Raval,3176,13,1
2014-01-01,1,Ciutat Vella,1,el Raval,2305,13,2
2014-01-01,1,Ciutat Vella,1,el Raval,121,14,1
2014-01-01,1,Ciutat Vella,1,el Raval,167,14,2
2014-01-01,1,Ciutat Vella,1,el Raval,579,15,1
2014-01-01,1,Ciutat Vella,1,el Raval,330,15,2
2014-01-01,1,Ciutat Vella,1,el Raval,397,16,1
2014-01-01,1,Ciutat Vella,1,el Raval,338,16,2
2014-01-01,1,Ciutat Vella,1,el Raval,11204,17,1
2014-01-01,1,Ciutat Vella,1,el Raval,11097,17,2
2014-01-01,1,Ciutat Vella,1,el Raval,644,18,1
2014-01-01,1,Ciutat Vella,1,el Raval,659,18,2
2014-01-01,1,Ciutat Vella,1,el Raval,15,19,1
2014-01-01,1,Ciutat Vella,1,el Raval,13,19,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,23,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,23,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,6,1,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,1,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,2,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,8,2,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,143,3,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,296,3,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,4,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,6,4,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,18,5,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,81,5,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,83,6,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,83,6,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,180,7,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,114,7,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,849,8,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,903,8,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,85,9,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,108,9,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,15,10,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,7,10,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,93,11,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,93,11,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,175,12,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,796,12,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,195,13,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,142,13,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,28,14,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,72,14,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,218,15,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,186,15,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,304,16,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,278,16,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,4556,17,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,4596,17,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,472,18,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,492,18,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,14,19,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,17,19,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,23,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,23,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,7,1,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,..,2,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,189,3,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,326,3,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,..,4,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,..,4,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,12,5,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,25,5,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,78,6,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,76,6,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,86,7,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,78,7,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,728,8,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,705,8,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,40,9,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,52,9,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,..,10,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,..,10,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,42,11,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,29,11,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,114,12,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,476,12,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,19,13,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,13,13,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,33,14,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,48,14,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,272,15,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,174,15,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,236,16,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,186,16,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,5473,17,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,5018,17,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,262,18,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,269,18,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,7,19,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,11,19,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,..,23,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,..,23,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",8,1,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",8,1,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,2,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",8,2,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",321,3,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",631,3,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",9,4,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",5,4,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",29,5,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",175,5,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",248,6,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",206,6,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",197,7,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",158,7,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1217,8,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1232,8,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",141,9,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",129,9,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",5,10,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,10,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",181,11,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",172,11,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",147,12,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",501,12,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",246,13,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",183,13,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",56,14,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",58,14,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",272,15,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",161,15,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",448,16,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",358,16,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",6975,17,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",6538,17,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",630,18,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",631,18,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",39,19,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",30,19,2
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,23,1
2014-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",7,23,2
2014-01-01,2,Eixample,5,el Fort Pienc,..,1,1
2014-01-01,2,Eixample,5,el Fort Pienc,6,1,2
2014-01-01,2,Eixample,5,el Fort Pienc,..,2,1
2014-01-01,2,Eixample,5,el Fort Pienc,9,2,2
2014-01-01,2,Eixample,5,el Fort Pienc,93,3,1
2014-01-01,2,Eixample,5,el Fort Pienc,147,3,2
2014-01-01,2,Eixample,5,el Fort Pienc,5,4,1
2014-01-01,2,Eixample,5,el Fort Pienc,..,4,2
2014-01-01,2,Eixample,5,el Fort Pienc,13,5,1
2014-01-01,2,Eixample,5,el Fort Pienc,67,5,2
2014-01-01,2,Eixample,5,el Fort Pienc,194,6,1
2014-01-01,2,Eixample,5,el Fort Pienc,117,6,2
2014-01-01,2,Eixample,5,el Fort Pienc,218,7,1
2014-01-01,2,Eixample,5,el Fort Pienc,125,7,2
2014-01-01,2,Eixample,5,el Fort Pienc,1634,8,1
2014-01-01,2,Eixample,5,el Fort Pienc,1353,8,2
2014-01-01,2,Eixample,5,el Fort Pienc,49,9,1
2014-01-01,2,Eixample,5,el Fort Pienc,44,9,2
2014-01-01,2,Eixample,5,el Fort Pienc,8,10,1
2014-01-01,2,Eixample,5,el Fort Pienc,5,10,2
2014-01-01,2,Eixample,5,el Fort Pienc,478,11,1
2014-01-01,2,Eixample,5,el Fort Pienc,421,11,2
2014-01-01,2,Eixample,5,el Fort Pienc,63,12,1
2014-01-01,2,Eixample,5,el Fort Pienc,233,12,2
2014-01-01,2,Eixample,5,el Fort Pienc,28,13,1
2014-01-01,2,Eixample,5,el Fort Pienc,20,13,2
2014-01-01,2,Eixample,5,el Fort Pienc,51,14,1
2014-01-01,2,Eixample,5,el Fort Pienc,46,14,2
2014-01-01,2,Eixample,5,el Fort Pienc,253,15,1
2014-01-01,2,Eixample,5,el Fort Pienc,212,15,2
2014-01-01,2,Eixample,5,el Fort Pienc,153,16,1
2014-01-01,2,Eixample,5,el Fort Pienc,144,16,2
2014-01-01,2,Eixample,5,el Fort Pienc,13059,17,1
2014-01-01,2,Eixample,5,el Fort Pienc,11425,17,2
2014-01-01,2,Eixample,5,el Fort Pienc,419,18,1
2014-01-01,2,Eixample,5,el Fort Pienc,364,18,2
2014-01-01,2,Eixample,5,el Fort Pienc,..,19,1
2014-01-01,2,Eixample,5,el Fort Pienc,6,19,2
2014-01-01,2,Eixample,5,el Fort Pienc,6,23,1
2014-01-01,2,Eixample,5,el Fort Pienc,8,23,2
2014-01-01,2,Eixample,6,la Sagrada Família,9,1,1
2014-01-01,2,Eixample,6,la Sagrada Família,8,1,2
2014-01-01,2,Eixample,6,la Sagrada Família,9,2,1
2014-01-01,2,Eixample,6,la Sagrada Família,11,2,2
2014-01-01,2,Eixample,6,la Sagrada Família,169,3,1
2014-01-01,2,Eixample,6,la Sagrada Família,230,3,2
2014-01-01,2,Eixample,6,la Sagrada Família,5,4,1
2014-01-01,2,Eixample,6,la Sagrada Família,5,4,2
2014-01-01,2,Eixample,6,la Sagrada Família,30,5,1
2014-01-01,2,Eixample,6,la Sagrada Família,57,5,2
2014-01-01,2,Eixample,6,la Sagrada Família,331,6,1
2014-01-01,2,Eixample,6,la Sagrada Família,250,6,2
2014-01-01,2,Eixample,6,la Sagrada Família,384,7,1
2014-01-01,2,Eixample,6,la Sagrada Família,229,7,2
2014-01-01,2,Eixample,6,la Sagrada Família,3206,8,1
2014-01-01,2,Eixample,6,la Sagrada Família,2515,8,2
2014-01-01,2,Eixample,6,la Sagrada Família,68,9,1
2014-01-01,2,Eixample,6,la Sagrada Família,57,9,2
2014-01-01,2,Eixample,6,la Sagrada Família,8,10,1
2014-01-01,2,Eixample,6,la Sagrada Família,..,10,2
2014-01-01,2,Eixample,6,la Sagrada Família,485,11,1
2014-01-01,2,Eixample,6,la Sagrada Família,419,11,2
2014-01-01,2,Eixample,6,la Sagrada Família,101,12,1
2014-01-01,2,Eixample,6,la Sagrada Família,281,12,2
2014-01-01,2,Eixample,6,la Sagrada Família,85,13,1
2014-01-01,2,Eixample,6,la Sagrada Família,46,13,2
2014-01-01,2,Eixample,6,la Sagrada Família,112,14,1
2014-01-01,2,Eixample,6,la Sagrada Família,133,14,2
2014-01-01,2,Eixample,6,la Sagrada Família,498,15,1
2014-01-01,2,Eixample,6,la Sagrada Família,254,15,2
2014-01-01,2,Eixample,6,la Sagrada Família,163,16,1
2014-01-01,2,Eixample,6,la Sagrada Família,184,16,2
2014-01-01,2,Eixample,6,la Sagrada Família,21585,17,1
2014-01-01,2,Eixample,6,la Sagrada Família,18462,17,2
2014-01-01,2,Eixample,6,la Sagrada Família,450,18,1
2014-01-01,2,Eixample,6,la Sagrada Família,402,18,2
2014-01-01,2,Eixample,6,la Sagrada Família,7,19,1
2014-01-01,2,Eixample,6,la Sagrada Família,8,19,2
2014-01-01,2,Eixample,6,la Sagrada Família,18,23,1
2014-01-01,2,Eixample,6,la Sagrada Família,6,23,2
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,18,1,1
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,16,1,2
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,13,2,1
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,8,2,2
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,120,3,1
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,112,3,2
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,5,4,1
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,5,4,2
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,17,5,1
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,30,5,2
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,186,6,1
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,142,6,2
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,325,7,1
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,240,7,2
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,2087,8,1
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,1527,8,2
2014-01-01,2,Eixample,7,la Dreta de l'Eixample,176,9,1
