Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,LLOC_NAIX_REGIO,SEXE
1998-01-01,1,Ciutat Vella,1,el Raval,5,1,1
1998-01-01,1,Ciutat Vella,1,el Raval,..,1,2
1998-01-01,1,Ciutat Vella,1,el Raval,9,2,1
1998-01-01,1,Ciutat Vella,1,el Raval,7,2,2
1998-01-01,1,Ciutat Vella,1,el Raval,497,3,1
1998-01-01,1,Ciutat Vella,1,el Raval,583,3,2
1998-01-01,1,Ciutat Vella,1,el Raval,..,4,2
1998-01-01,1,Ciutat Vella,1,el Raval,23,5,1
1998-01-01,1,Ciutat Vella,1,el Raval,24,5,2
1998-01-01,1,Ciutat Vella,1,el Raval,208,6,1
1998-01-01,1,Ciutat Vella,1,el Raval,64,6,2
1998-01-01,1,Ciutat Vella,1,el Raval,95,7,1
1998-01-01,1,Ciutat Vella,1,el Raval,47,7,2
1998-01-01,1,Ciutat Vella,1,el Raval,334,8,1
1998-01-01,1,Ciutat Vella,1,el Raval,325,8,2
1998-01-01,1,Ciutat Vella,1,el Raval,12,9,1
1998-01-01,1,Ciutat Vella,1,el Raval,23,9,2
1998-01-01,1,Ciutat Vella,1,el Raval,19,11,1
1998-01-01,1,Ciutat Vella,1,el Raval,20,11,2
1998-01-01,1,Ciutat Vella,1,el Raval,161,12,1
1998-01-01,1,Ciutat Vella,1,el Raval,560,12,2
1998-01-01,1,Ciutat Vella,1,el Raval,718,13,1
1998-01-01,1,Ciutat Vella,1,el Raval,457,13,2
1998-01-01,1,Ciutat Vella,1,el Raval,7,14,1
1998-01-01,1,Ciutat Vella,1,el Raval,19,14,2
1998-01-01,1,Ciutat Vella,1,el Raval,17,15,1
1998-01-01,1,Ciutat Vella,1,el Raval,18,15,2
1998-01-01,1,Ciutat Vella,1,el Raval,26,16,1
1998-01-01,1,Ciutat Vella,1,el Raval,33,16,2
1998-01-01,1,Ciutat Vella,1,el Raval,16210,17,1
1998-01-01,1,Ciutat Vella,1,el Raval,14300,17,2
1998-01-01,1,Ciutat Vella,1,el Raval,161,18,1
1998-01-01,1,Ciutat Vella,1,el Raval,157,18,2
1998-01-01,1,Ciutat Vella,1,el Raval,..,19,1
1998-01-01,1,Ciutat Vella,1,el Raval,..,19,2
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,2
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,1
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,2
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,122,3,1
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,194,3,2
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,4,1
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,5,1
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,16,5,2
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,81,6,1
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,43,6,2
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,26,7,1
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,7,2
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,118,8,1
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,171,8,2
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,21,9,1
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,22,9,2
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,11,1
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,14,11,2
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,24,12,1
1998-01-01,1,Ciutat Vella,2,el Barri Gòtic,92,12,2
