Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,LLOC_NAIX_REGIO,SEXE
2019-01-01,1,Ciutat Vella,1,el Raval,25,1,1
2019-01-01,1,Ciutat Vella,1,el Raval,16,1,2
2019-01-01,1,Ciutat Vella,1,el Raval,9,2,1
2019-01-01,1,Ciutat Vella,1,el Raval,29,2,2
2019-01-01,1,Ciutat Vella,1,el Raval,793,3,1
2019-01-01,1,Ciutat Vella,1,el Raval,1126,3,2
2019-01-01,1,Ciutat Vella,1,el Raval,7,4,1
2019-01-01,1,Ciutat Vella,1,el Raval,8,4,2
2019-01-01,1,Ciutat Vella,1,el Raval,66,5,1
2019-01-01,1,Ciutat Vella,1,el Raval,155,5,2
2019-01-01,1,Ciutat Vella,1,el Raval,319,6,1
2019-01-01,1,Ciutat Vella,1,el Raval,296,6,2
2019-01-01,1,Ciutat Vella,1,el Raval,360,7,1
2019-01-01,1,Ciutat Vella,1,el Raval,309,7,2
2019-01-01,1,Ciutat Vella,1,el Raval,2320,8,1
2019-01-01,1,Ciutat Vella,1,el Raval,2365,8,2
2019-01-01,1,Ciutat Vella,1,el Raval,132,9,1
2019-01-01,1,Ciutat Vella,1,el Raval,152,9,2
2019-01-01,1,Ciutat Vella,1,el Raval,14,10,1
2019-01-01,1,Ciutat Vella,1,el Raval,9,10,2
2019-01-01,1,Ciutat Vella,1,el Raval,227,11,1
2019-01-01,1,Ciutat Vella,1,el Raval,175,11,2
2019-01-01,1,Ciutat Vella,1,el Raval,2317,12,1
2019-01-01,1,Ciutat Vella,1,el Raval,6604,12,2
2019-01-01,1,Ciutat Vella,1,el Raval,3205,13,1
2019-01-01,1,Ciutat Vella,1,el Raval,2245,13,2
2019-01-01,1,Ciutat Vella,1,el Raval,223,14,1
2019-01-01,1,Ciutat Vella,1,el Raval,265,14,2
2019-01-01,1,Ciutat Vella,1,el Raval,545,15,1
2019-01-01,1,Ciutat Vella,1,el Raval,394,15,2
2019-01-01,1,Ciutat Vella,1,el Raval,443,16,1
2019-01-01,1,Ciutat Vella,1,el Raval,462,16,2
2019-01-01,1,Ciutat Vella,1,el Raval,10318,17,1
2019-01-01,1,Ciutat Vella,1,el Raval,10556,17,2
2019-01-01,1,Ciutat Vella,1,el Raval,801,18,1
2019-01-01,1,Ciutat Vella,1,el Raval,865,18,2
2019-01-01,1,Ciutat Vella,1,el Raval,20,19,1
2019-01-01,1,Ciutat Vella,1,el Raval,19,19,2
2019-01-01,1,Ciutat Vella,1,el Raval,8,23,1
2019-01-01,1,Ciutat Vella,1,el Raval,8,23,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,1,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,14,1,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,16,2,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,6,2,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,249,3,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,449,3,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,14,4,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,13,4,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,32,5,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,133,5,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,92,6,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,80,6,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,274,7,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,180,7,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,1263,8,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,1191,8,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,135,9,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,140,9,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,13,10,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,7,10,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,146,11,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,103,11,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,332,12,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,2677,12,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,288,13,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,182,13,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,111,14,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,145,14,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,376,15,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,267,15,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,310,16,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,321,16,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,4125,17,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,4215,17,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,574,18,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,639,18,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,25,19,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,23,19,2
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,23,1
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,23,2
2019-01-01,1,Ciutat Vella,3,la Barceloneta,5,1,1
2019-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,2
2019-01-01,1,Ciutat Vella,3,la Barceloneta,..,2,1
2019-01-01,1,Ciutat Vella,3,la Barceloneta,..,2,2
2019-01-01,1,Ciutat Vella,3,la Barceloneta,203,3,1
2019-01-01,1,Ciutat Vella,3,la Barceloneta,324,3,2
2019-01-01,1,Ciutat Vella,3,la Barceloneta,7,4,1
2019-01-01,1,Ciutat Vella,3,la Barceloneta,..,4,2
2019-01-01,1,Ciutat Vella,3,la Barceloneta,10,5,1
2019-01-01,1,Ciutat Vella,3,la Barceloneta,32,5,2
2019-01-01,1,Ciutat Vella,3,la Barceloneta,87,6,1
2019-01-01,1,Ciutat Vella,3,la Barceloneta,76,6,2
2019-01-01,1,Ciutat Vella,3,la Barceloneta,121,7,1
